Product ID : 955 JPs covered : 157 : Accounting-Accounting/Audit/Assurance, 
pr_000736804,0.971897, 0.002209
pr_001089668,0.971897, 0.004430
pr_000719397,0.971897, 0.005581
us_000275755,0.971897, 0.014864
pr_000375250,0.951221, 0.000000
pr_001597379,0.951221, 0.000001
pr_001684930,0.951221, 0.000001
pr_001612568,0.951221, 0.000009
pr_000363857,0.951221, 0.000011
pr_001037720,0.951221, 0.000017
us_000594725,0.951221, 0.006338
us_000598286,0.951221, 0.013499
us_000367335,0.951221, 0.139382
us_000458903,0.951221, 0.412413
us_000441989,0.951221, 0.460377
us_000458630,0.951221, 0.476613
us_000458754,0.951221, 0.492818
us_000459241,0.951221, 0.547495
us_000472147,0.951221, 0.547495
us_000463266,0.951221, 0.547495
us_000411952,0.951221, 0.547495
us_000458521,0.951221, 0.680820
us_000458775,0.951221, 0.682091
us_000461096,0.951221, 0.689110
us_000466268,0.566893, 0.212173
us_000483790,0.566893, 0.212173
us_000468436,0.566893, 0.212173
us_000607903,0.566893, 0.212173
us_000479081,0.566893, 0.212173
us_000463685,0.566893, 0.212173
us_000459898,0.566893, 0.212173
us_000468932,0.566893, 0.212173
us_000465119,0.566893, 0.212173
us_000470416,0.566893, 0.212173
us_000474874,0.566893, 0.212173
us_000474203,0.566893, 0.212173
us_000459959,0.566893, 0.212173
us_000483882,0.566893, 0.212173
us_000472001,0.566893, 0.212173
us_000458555,0.566893, 0.212173
us_000483840,0.566893, 0.212173
us_000257452,0.566893, 0.212173
us_000459998,0.566893, 0.212173
us_000473475,0.566893, 0.212173
us_000463661,0.566893, 0.212173
us_000464235,0.566893, 0.212173
us_000459239,0.566893, 0.212173
us_000410861,0.566893, 0.212173
us_000473276,0.566893, 0.212173
us_000460222,0.566893, 0.212173
us_000472501,0.566893, 0.212173
us_000280143,0.566893, 0.212173
us_000463295,0.566893, 0.212173
us_000472286,0.566893, 0.212173
us_000464500,0.566893, 0.212173
us_000497649,0.566893, 0.212173
us_000478354,0.566893, 0.212173
us_000459176,0.566893, 0.212173
us_000266032,0.566893, 0.212173
us_000473825,0.566893, 0.212173
us_000463328,0.566893, 0.212173
us_000471663,0.566893, 0.212173
us_000469722,0.566893, 0.212173
us_000464748,0.566893, 0.212173
us_000253935,0.566893, 0.212173
us_000463122,0.566893, 0.212173
us_000472287,0.566893, 0.212173
us_000473801,0.566893, 0.212173
us_000461820,0.566893, 0.212173
us_000560735,0.566893, 0.212173
us_000473476,0.566893, 0.212173
us_000471762,0.566893, 0.212173
us_000459932,0.566893, 0.212173
us_000334217,0.566893, 0.212173
us_000465017,0.566893, 0.212173
us_000468961,0.566893, 0.212173
us_000473507,0.566893, 0.212173
us_000479953,0.566893, 0.212173
us_000469617,0.566893, 0.212173
us_000459097,0.566893, 0.212173
us_000463297,0.566893, 0.212173
us_000459143,0.566893, 0.212173
us_000471086,0.566893, 0.212173
us_000471779,0.566893, 0.212173
us_000463687,0.566893, 0.212173
us_000461864,0.566893, 0.212173
us_000467353,0.566893, 0.212173
us_000481634,0.566893, 0.212173
us_000469598,0.566893, 0.212173
us_000474436,0.566893, 0.212173
us_000470348,0.566893, 0.212173
us_000466280,0.566893, 0.212173
us_000033531,0.566893, 0.213459
us_000532975,0.566893, 0.215311
us_000469750,0.566893, 0.215475
us_000464243,0.566893, 0.215506
us_000515888,0.566893, 0.215897
us_000026064,0.566893, 0.218735
us_000461115,0.566893, 0.219228
pr_001041902,0.566893, 0.245483
pr_001015509,0.566893, 0.251064
pr_001041904,0.566893, 0.256887
pr_000993040,0.566893, 0.256887
pr_001044851,0.566893, 0.256887
pr_001014502,0.566893, 0.256887
pr_000871290,0.566893, 0.256887
pr_001003296,0.566893, 0.256887
pr_000760552,0.566893, 0.256887
us_000546942,0.485475, 0.000000
pr_001612195,0.485475, 0.000002
pr_000382936,0.485475, 0.000053
pr_001147959,0.485475, 0.000076
pr_001613423,0.485475, 0.000111
pr_001611517,0.485475, 0.000111
pr_001148031,0.485475, 0.000111
pr_000628335,0.485475, 0.000122
pr_001146387,0.485475, 0.000157
pr_000384374,0.485475, 0.000162
pr_001001154,0.485475, 0.000168
pr_000990866,0.485475, 0.000171
pr_001599936,0.485475, 0.000192
pr_001623830,0.485475, 0.000193
pr_001149498,0.485475, 0.000196
pr_000914889,0.485475, 0.000207
pr_000362566,0.485475, 0.000236
pr_001673822,0.485475, 0.000250
pr_000656297,0.485475, 0.000250
pr_000375219,0.485475, 0.000264
pr_000371171,0.485475, 0.000265
pr_000518398,0.485475, 0.000346
pr_001146615,0.485475, 0.000357
pr_001156488,0.485475, 0.000378
pr_001147816,0.485475, 0.000772
pr_000370105,0.485475, 0.000774
pr_000910589,0.485475, 0.000849
pr_001068946,0.485475, 0.001744
us_000338566,0.485475, 0.354038
us_000459249,0.485475, 0.740877
us_000485528,0.485475, 0.758356
us_000057203,0.485475, 0.759889
us_000460286,0.485475, 0.776667
us_000010545,0.485475, 0.780062
us_000006135,0.485475, 0.788856
us_000023180,0.485475, 0.798432
us_000244290,0.485475, 0.839172
us_000251194,0.485475, 0.865271
us_000468437,0.485475, 0.866314
us_000017136,0.485475, 0.870509
us_000467749,0.485475, 0.877624
us_000464927,0.485475, 0.882554
us_000378951,0.485475, 0.885088
us_000013466,0.485475, 0.885302
us_000383137,0.485475, 0.935795
us_000334068,0.485475, 0.948709
us_000211533,0.485475, 0.957515
us_000479064,0.485475, 0.957515
us_000468953,0.485475, 0.969578
us_000467987,0.485475, 0.989104
us_000492669,0.485475, 1.003645
us_000263205,0.485475, 1.013305
us_000483097,0.485475, 1.014603
us_000469216,0.485475, 1.026393
us_000468577,0.485475, 1.045000
us_000488430,0.485475, 1.058891
us_000417328,0.485475, 1.061650
us_000468031,0.485475, 1.100551
us_000226708,0.485475, 1.131648
us_000468593,0.485475, 1.134178
us_000464483,0.485475, 1.140959
us_000465053,0.485475, 1.141341
us_000484207,0.485475, 1.150295
us_000224064,0.485475, 1.155048
us_000469329,0.485475, 1.189115
us_000492670,0.485475, 1.189115
us_000468809,0.485475, 1.189115
us_000466967,0.485475, 1.189820
us_000481515,0.485475, 1.198277
us_000468804,0.469014, 0.000005
us_000565672,0.469014, 0.000005
us_000507144,0.469014, 0.000039
us_000553141,0.469014, 0.000051
us_000460690,0.469014, 0.000051
us_000549659,0.469014, 0.000051
us_000488117,0.469014, 0.000145
us_000493216,0.469014, 0.000146
us_000580178,0.469014, 0.000146
us_000493008,0.469014, 0.008330
us_000468468,0.469014, 0.608848
us_000460338,0.469014, 0.628627
us_000464830,0.469014, 0.668720
us_000481528,0.469014, 0.679727
us_000464341,0.469014, 0.683474
us_000469127,0.469014, 0.745144
us_000317029,0.469014, 0.746590
us_000538097,0.469014, 0.803368
us_000501070,0.469014, 0.804404
us_000468518,0.469014, 0.823263
us_000539633,0.469014, 0.841846
us_000546974,0.469014, 0.861728
us_000464689,0.469014, 0.863248
us_000501065,0.469014, 0.868996
us_000531030,0.469014, 0.889964
us_000592928,0.469014, 0.893396
us_000525646,0.469014, 0.896110
us_000501416,0.469014, 0.900797
us_000516891,0.469014, 0.920062
us_000461651,0.469014, 0.950499
us_000517286,0.469014, 1.057276
us_000561899,0.469014, 1.113897
us_000503669,0.375825, 0.000011
us_000467013,0.375825, 0.000011
us_000602308,0.375825, 0.000024
pr_000718904,0.375825, 0.188711
pr_000919622,0.375825, 0.201375
pr_000922798,0.375825, 0.201375
pr_000723979,0.375825, 0.203874
pr_000723921,0.375825, 0.205117
pr_000922191,0.375825, 0.205117
pr_001006777,0.375825, 0.205117
pr_001041282,0.375825, 0.206496
pr_000880373,0.375825, 0.206496
pr_000723307,0.375825, 0.206496
pr_000926217,0.375825, 0.206496
pr_000724817,0.375825, 0.206496
pr_000722473,0.375825, 0.206496
pr_000988518,0.375825, 0.206496
pr_000722900,0.375825, 0.206496
pr_000848346,0.375825, 0.206496
pr_000720855,0.375825, 0.206496
pr_001007807,0.375825, 0.206496
pr_000751579,0.375825, 0.206496
pr_000720379,0.375825, 0.206496
pr_000951780,0.375825, 0.206496
pr_000526043,0.375825, 0.249873
pr_000848276,0.314526, 0.175903
pr_000977868,0.314526, 0.175903
pr_000880460,0.314526, 0.175903
pr_000721195,0.314526, 0.175903
pr_000864473,0.314526, 0.175903
pr_000866826,0.314526, 0.175903
pr_001057388,0.314526, 0.175903
pr_000972297,0.314526, 0.175903
pr_000867396,0.314526, 0.175903
pr_001010463,0.314526, 0.175903
pr_000736831,0.314526, 0.175903
pr_000975492,0.314526, 0.175903
pr_000753186,0.314526, 0.175903
pr_000849026,0.314526, 0.175903
pr_001043691,0.314526, 0.175903
pr_001043567,0.314526, 0.175903
pr_000993013,0.314526, 0.175903
pr_000994248,0.314526, 0.175903
pr_000877255,0.314526, 0.175903
pr_000723977,0.314526, 0.175903
pr_000751523,0.314526, 0.175903
pr_001040124,0.314526, 0.175903
pr_001042886,0.314526, 0.175903
pr_000752567,0.314526, 0.175903
pr_001015805,0.314526, 0.175903
pr_000856744,0.314526, 0.175903
pr_001013970,0.314526, 0.175903
pr_001042585,0.314526, 0.175903
pr_001044170,0.314526, 0.175903
pr_001005057,0.314526, 0.175903
pr_001043144,0.314526, 0.180785
pr_001042939,0.314526, 0.180785
pr_000754036,0.314526, 0.180785
pr_001014595,0.314526, 0.180785
pr_000724040,0.314526, 0.180785
pr_001043861,0.314526, 0.180785
pr_000994710,0.314526, 0.180785
pr_000723938,0.314526, 0.180785
pr_000972303,0.314526, 0.180785
pr_001007907,0.314526, 0.180785
pr_001043820,0.314526, 0.180785
pr_000719689,0.314526, 0.180785
pr_000746053,0.314526, 0.180785
pr_000905645,0.314526, 0.180785
pr_001044512,0.314526, 0.180785
pr_000899155,0.314526, 0.180785
pr_001042322,0.314526, 0.180785
pr_000745689,0.314526, 0.180785
pr_000873991,0.314526, 0.180785
pr_001017153,0.314526, 0.180785
pr_000747908,0.314526, 0.180785
pr_001043764,0.314526, 0.180785
pr_001044603,0.314526, 0.180785
pr_001041594,0.314526, 0.180785
pr_000873304,0.314526, 0.180785
pr_001044864,0.314526, 0.180785
pr_000723172,0.314526, 0.180785
pr_001650208,0.314526, 0.180785
pr_001679541,0.314526, 0.180785
pr_000746496,0.314526, 0.180785
pr_001042537,0.314526, 0.180785
pr_000746536,0.314526, 0.180785
pr_000754015,0.314526, 0.180785
pr_000944459,0.314526, 0.180785
pr_000723341,0.314526, 0.180785
pr_000921102,0.314526, 0.180785
pr_000722029,0.314526, 0.180785
pr_001003909,0.314526, 0.180785
pr_000723705,0.314526, 0.180785
pr_000751721,0.314526, 0.180785
pr_001001383,0.314526, 0.180785
pr_000866249,0.314526, 0.180785
pr_001044635,0.314526, 0.180785
pr_000920205,0.314526, 0.180785
pr_000982333,0.314526, 0.180785
pr_000752622,0.314526, 0.180785
pr_000992995,0.314526, 0.180785
pr_000848656,0.314526, 0.180785
pr_000723217,0.314526, 0.180785
pr_000749400,0.314526, 0.180785
pr_001041842,0.314526, 0.180785
pr_000897104,0.314526, 0.180785
pr_000996865,0.314526, 0.180785
pr_001014243,0.314526, 0.180785
pr_000724622,0.314526, 0.180785
pr_000753177,0.314526, 0.180785
pr_001827860,0.314526, 0.180785
pr_000719288,0.314526, 0.180785
pr_000879676,0.314526, 0.180785
pr_000972272,0.314526, 0.180785
pr_001007901,0.314526, 0.180785
pr_000750700,0.314526, 0.180785
pr_001624722,0.314526, 0.180785
pr_000749580,0.314526, 0.180785
pr_000883364,0.314526, 0.180785
pr_000986986,0.314526, 0.180785
pr_001726473,0.314526, 0.180785
pr_001041460,0.314526, 0.180785
pr_001005687,0.314526, 0.180785
pr_001041803,0.314526, 0.180785
pr_001012426,0.314526, 0.180785
pr_000852580,0.314526, 0.180785
pr_000878550,0.314526, 0.180785
pr_001041596,0.314526, 0.180785
pr_000873950,0.314526, 0.180785
pr_001045412,0.314526, 0.180785
pr_000863028,0.314526, 0.180785
pr_000872482,0.314526, 0.180785
pr_001012417,0.314526, 0.180785
pr_000914895,0.314526, 0.180785
pr_000994006,0.314526, 0.180785
pr_001686012,0.314526, 0.180785
pr_000848248,0.314526, 0.180785
pr_001041746,0.314526, 0.180785
pr_000926252,0.314526, 0.180785
pr_000760488,0.314526, 0.180785
pr_000719891,0.314526, 0.180785
pr_000994609,0.314526, 0.180785
pr_000723263,0.314526, 0.180785
pr_000873904,0.314526, 0.180785
pr_000923087,0.314526, 0.180785
pr_000922830,0.314526, 0.180785
pr_000749137,0.314526, 0.180785
pr_000993683,0.314526, 0.180785
pr_000932172,0.314526, 0.180785
pr_001009250,0.314526, 0.180785
pr_001075211,0.314526, 0.180785
pr_000751768,0.314526, 0.180785
pr_000917341,0.314526, 0.180785
pr_000901508,0.314526, 0.180785
pr_000921281,0.314526, 0.180785
pr_001041683,0.314526, 0.180785
pr_000993557,0.314526, 0.180785
pr_001043807,0.314526, 0.180785
pr_001011080,0.314526, 0.180785
pr_000892842,0.314526, 0.180785
pr_000723924,0.314526, 0.180785
pr_001044729,0.314526, 0.180785
pr_000748102,0.314526, 0.180785
pr_001043967,0.314526, 0.180785
pr_001042665,0.314526, 0.180785
pr_001017219,0.314526, 0.180785
pr_001046905,0.314526, 0.180785
pr_000891247,0.314526, 0.180785
pr_000862089,0.314526, 0.180785
pr_000722933,0.314526, 0.180785
pr_001041599,0.314526, 0.180785
pr_001114175,0.314526, 0.180785
pr_001011308,0.314526, 0.180785
pr_001041064,0.314526, 0.180785
pr_001041149,0.314526, 0.180785
pr_000749461,0.314526, 0.180785
pr_000751064,0.314526, 0.180785
pr_001007888,0.314526, 0.180785
pr_001004193,0.314526, 0.180785
pr_001014158,0.314526, 0.180785
pr_000892149,0.314526, 0.180785
pr_000852374,0.314526, 0.180785
pr_000746283,0.314526, 0.180785
pr_001014956,0.314526, 0.180785
pr_000993514,0.314526, 0.180785
pr_001041536,0.314526, 0.180785
pr_001044214,0.314526, 0.180785
pr_000932151,0.314526, 0.180785
pr_000995626,0.314526, 0.180785
pr_001041353,0.314526, 0.180785
pr_001042018,0.314526, 0.180785
pr_000740517,0.314526, 0.180785
pr_001044159,0.314526, 0.180785
pr_000723081,0.314526, 0.180785
pr_000736833,0.314526, 0.180785
pr_000897610,0.314526, 0.180785
pr_001043108,0.314526, 0.180785
pr_000869639,0.314526, 0.180785
pr_001013414,0.314526, 0.180785
pr_001012125,0.314526, 0.180785
pr_001009307,0.314526, 0.180785
pr_000897093,0.314526, 0.180785
pr_000922895,0.314526, 0.180785
pr_001041711,0.314526, 0.180785
pr_000743604,0.314526, 0.180785
pr_000748178,0.314526, 0.180785
pr_000842271,0.314526, 0.180785
pr_000723575,0.314526, 0.180785
pr_001044866,0.314526, 0.180785
pr_001010741,0.314526, 0.180785
pr_000721513,0.314526, 0.180785
pr_000921863,0.314526, 0.180785
pr_000745604,0.314526, 0.180785
pr_001822535,0.314526, 0.180785
pr_000920121,0.314526, 0.180785
pr_001014564,0.314526, 0.180785
pr_001043020,0.314526, 0.180785
pr_000754040,0.314526, 0.180785
pr_001012573,0.314526, 0.180785
pr_000752564,0.314526, 0.180785
pr_000720095,0.314526, 0.180785
pr_001041269,0.314526, 0.180785
pr_000993022,0.314526, 0.180785
pr_000905125,0.314526, 0.180785
pr_001041372,0.314526, 0.180785
pr_000993585,0.314526, 0.180785
pr_001011748,0.314526, 0.180785
pr_001043175,0.314526, 0.180785
pr_001042499,0.314526, 0.180785
pr_001043949,0.314526, 0.180785
pr_000848498,0.314526, 0.180785
pr_001045273,0.314526, 0.180785
pr_000745751,0.314526, 0.180785
pr_001017145,0.314526, 0.180785
pr_001001900,0.314526, 0.180785
pr_001044006,0.314526, 0.180785
pr_000754178,0.314526, 0.180785
pr_001014528,0.314526, 0.180785
pr_001041626,0.314526, 0.180785
pr_000751687,0.314526, 0.180785
pr_001015271,0.314526, 0.180785
pr_000850435,0.314526, 0.180884
pr_000864446,0.314526, 0.180884
pr_000964460,0.314526, 0.181163
pr_001614010,0.314526, 0.181276
pr_000932109,0.314526, 0.181569
pr_000902973,0.314526, 0.181975
pr_000992292,0.314526, 0.182473
pr_000977825,0.314526, 0.187736
pr_001624723,0.314526, 0.202357
pr_000586338,0.314526, 0.217624
pr_001202350,0.304833, 0.000000
pr_000763137,0.304833, 0.000000
us_000424004,0.304833, 0.000001
us_000549189,0.304833, 0.000001
us_000460237,0.304833, 0.000001
us_000535157,0.304833, 0.000001
us_000550482,0.304833, 0.000036
us_000550440,0.304833, 0.000036
us_000529827,0.304833, 0.000036
us_000553239,0.304833, 0.000120
us_000581146,0.304833, 0.000120
us_000549661,0.304833, 0.000120
us_000548313,0.304833, 0.000120
us_000460847,0.304833, 0.000120
us_000490585,0.304833, 0.000120
us_000596802,0.304833, 0.000120
us_000584648,0.304833, 0.000120
us_000587299,0.304833, 0.000120
us_000493278,0.304833, 0.000120
us_000464246,0.304833, 0.000302
us_000460979,0.304833, 0.000540
us_000507954,0.304833, 0.001736
us_000519228,0.304833, 0.002023
us_000569579,0.304833, 0.002453
pr_000509393,0.304833, 0.002811
us_000513529,0.304833, 0.002887
us_000553177,0.304833, 0.003005
us_000553227,0.304833, 0.003684
us_000521277,0.304833, 0.004312
us_000530138,0.304833, 0.004841
us_000520667,0.304833, 0.006654
us_000515377,0.304833, 0.006907
us_000507822,0.304833, 0.007641
us_000548138,0.304833, 0.007991
us_000524115,0.304833, 0.009427
us_000520870,0.304833, 0.011439
us_000552484,0.304833, 0.012131
us_000563948,0.304833, 0.014501
us_000524388,0.304833, 0.014719
us_000513263,0.304833, 0.017070
us_000507446,0.304833, 0.019859
us_000521843,0.304833, 0.021046
us_000592605,0.304833, 0.021386
us_000590230,0.304833, 0.022489
us_000589202,0.304833, 0.025512
us_000514284,0.304833, 0.029882
us_000552942,0.304833, 0.031320
us_000185834,0.304833, 0.031757
pr_001224858,0.304833, 0.033675
us_000514258,0.304833, 0.035011
us_000471532,0.304833, 0.039410
us_000458782,0.304833, 0.041154
us_000477343,0.304833, 0.041700
us_000531084,0.304833, 0.043434
us_000518525,0.304833, 0.044827
us_000591774,0.304833, 0.052131
us_000546081,0.304833, 0.061783
us_000522533,0.304833, 0.079595
us_000505551,0.304833, 0.081869
us_000558029,0.304833, 0.082999
us_000518510,0.304833, 0.095605
us_000504374,0.304833, 0.096783
us_000523871,0.304833, 0.126191
us_000575517,0.304833, 0.146070
us_000513223,0.304833, 0.171927
us_000507766,0.304833, 0.208763
us_000383825,0.304833, 0.231701
us_000510777,0.304833, 0.515994
us_000544258,0.241206, 0.000000
us_000517148,0.241206, 0.000000
us_000577584,0.241206, 0.000000
us_000525372,0.241206, 0.000000
us_000546707,0.241206, 0.000000
us_000577588,0.241206, 0.000000
us_000544969,0.241206, 0.000000
us_000540549,0.241206, 0.000000
us_000468619,0.241206, 0.000001
us_000580657,0.241206, 0.000001
us_000562026,0.241206, 0.000001
us_000526763,0.241206, 0.000001
us_000478272,0.241206, 0.000001
us_000544393,0.241206, 0.000001
us_000614921,0.241206, 0.000001
us_000565687,0.241206, 0.000001
us_000604936,0.241206, 0.000001
us_000589956,0.241206, 0.000001
us_000484770,0.241206, 0.000001
us_000577015,0.241206, 0.000001
us_000536677,0.241206, 0.000001
us_000525136,0.241206, 0.000049
us_000485806,0.241206, 0.000067
us_000473897,0.241206, 0.000076
us_000470045,0.241206, 0.000077
us_000527481,0.241206, 0.000136
us_000539771,0.241206, 0.000146
us_000464566,0.241206, 0.000445
us_000322455,0.241206, 0.000488
us_000290244,0.241206, 0.000739
us_000459019,0.241206, 0.001075
us_000468698,0.241206, 0.001174
us_000511194,0.241206, 0.003687
us_000291223,0.241206, 0.004680
us_000532750,0.241206, 0.004905
us_000563088,0.241206, 0.005083
us_000581471,0.241206, 0.007363
us_000460549,0.241206, 0.018780
us_000513470,0.241206, 0.036922
us_000514588,0.241206, 0.095318
us_000589147,0.241206, 0.130133
us_000459124,0.241206, 0.476026
us_000537711,0.241206, 0.540469
us_000530797,0.241206, 0.572391
us_000203216,0.241206, 0.586535
us_000475025,0.241206, 0.590654
us_000464011,0.241206, 0.626818
us_000487680,0.241206, 0.665495
us_000492036,0.241206, 0.685867
us_000204953,0.241206, 0.731921
us_000603806,0.241206, 0.743422
us_000473078,0.241206, 0.763503
us_000473080,0.241206, 0.781799
us_000469328,0.241206, 0.784924
us_000500943,0.241206, 0.787689
us_000523558,0.241206, 0.791437
us_000606973,0.241206, 0.804666
us_000277326,0.241206, 0.805428
us_000493198,0.241206, 0.823179
us_000595110,0.241206, 0.828444
us_000531413,0.241206, 0.835840
us_000510206,0.241206, 0.850263
us_000493062,0.241206, 0.878983
us_000510550,0.241206, 0.881602
us_000492693,0.241206, 0.923875
us_000462461,0.241206, 0.927527
us_000501747,0.241206, 0.937082
us_000501022,0.241206, 0.937082
us_000462016,0.241206, 0.939979
us_000563991,0.241206, 0.953887
us_000470753,0.241206, 0.966614
us_000564602,0.241206, 0.968642
