Product ID : 991 # of JPs covered : 1 : 87 : Energy, 
OID,Confidence at Map Node,Error at Map Node
us_000512316,1.000000, 0.000000
us_000522941,1.000000, 0.000000
us_000512698,1.000000, 0.000000
us_000571953,1.000000, 0.000000
us_000520982,1.000000, 0.000000
us_000594573,1.000000, 0.000000
us_000532443,1.000000, 0.000000
us_000513252,1.000000, 0.000000
pr_001907189,1.000000, 0.000001
pr_001899361,1.000000, 0.000001
pr_000396952,1.000000, 0.000001
us_000540020,1.000000, 0.000002
us_000527444,1.000000, 0.000003
us_000463513,1.000000, 0.000003
pr_000173069,1.000000, 0.000006
us_000581659,1.000000, 0.000011
us_000507143,1.000000, 0.000021
us_000521772,1.000000, 0.000021
pr_001899606,1.000000, 0.000037
us_000535516,1.000000, 0.000038
pr_001056280,1.000000, 0.000039
pr_000843290,1.000000, 0.000043
us_000523968,1.000000, 0.000046
us_000503166,1.000000, 0.000049
pr_001795552,1.000000, 0.000051
us_000528914,1.000000, 0.000056
us_000540203,1.000000, 0.000056
us_000543918,1.000000, 0.000056
us_000564390,1.000000, 0.000056
us_000539967,1.000000, 0.000056
pr_000996895,1.000000, 0.000072
pr_000901473,1.000000, 0.000072
pr_000287459,1.000000, 0.000072
pr_000393702,1.000000, 0.000072
pr_000992470,1.000000, 0.000072
pr_000836092,1.000000, 0.000072
pr_000519322,1.000000, 0.000072
pr_000817973,1.000000, 0.000072
pr_000638202,1.000000, 0.000072
pr_000845328,1.000000, 0.000072
pr_000567769,1.000000, 0.000078
pr_000827660,1.000000, 0.000085
pr_000911151,1.000000, 0.000085
pr_000840735,1.000000, 0.000085
pr_000393930,1.000000, 0.000085
us_000503763,1.000000, 0.000086
us_000521706,1.000000, 0.000087
us_000496640,1.000000, 0.000089
pr_001036151,1.000000, 0.000110
pr_001147420,1.000000, 0.000110
pr_000569416,1.000000, 0.000110
pr_000362588,1.000000, 0.000114
pr_000405340,1.000000, 0.000122
pr_000559292,1.000000, 0.000123
pr_000818443,1.000000, 0.000123
pr_001156502,1.000000, 0.000123
pr_000643799,1.000000, 0.000126
pr_001151497,1.000000, 0.000126
pr_001679789,1.000000, 0.000157
pr_000368754,1.000000, 0.000170
pr_000643991,1.000000, 0.000195
pr_001148828,1.000000, 0.000196
pr_000644574,1.000000, 0.000201
pr_000363584,1.000000, 0.000208
pr_001149493,1.000000, 0.000211
pr_001146425,1.000000, 0.000217
pr_001025301,1.000000, 0.000242
pr_001148106,1.000000, 0.000258
pr_000816748,1.000000, 0.000277
pr_000383305,1.000000, 0.000298
pr_000089278,1.000000, 0.000325
pr_000394013,1.000000, 0.000327
pr_001148630,1.000000, 0.000365
pr_000816964,1.000000, 0.000378
pr_000376493,1.000000, 0.000380
pr_001739915,1.000000, 0.000402
pr_000393620,1.000000, 0.000412
pr_000781835,1.000000, 0.000416
pr_000821965,1.000000, 0.000424
pr_000872531,1.000000, 0.000424
pr_001149669,1.000000, 0.000435
pr_001127848,1.000000, 0.000449
pr_001410297,1.000000, 0.000449
pr_000961891,1.000000, 0.000449
pr_000750931,1.000000, 0.000449
pr_000655596,1.000000, 0.000449
pr_000823781,1.000000, 0.000449
pr_001089542,1.000000, 0.000449
pr_000841315,1.000000, 0.000450
pr_000622291,1.000000, 0.000466
pr_001673589,1.000000, 0.000472
pr_001146818,1.000000, 0.000515
pr_002071238,1.000000, 0.000522
pr_000395368,1.000000, 0.000615
pr_000512838,1.000000, 0.000619
pr_000888672,1.000000, 0.000660
pr_000394395,1.000000, 0.000669
pr_000911143,1.000000, 0.000801
pr_000932121,1.000000, 0.000999
us_000493042,1.000000, 0.001067
pr_000396566,1.000000, 0.001300
pr_000347959,1.000000, 0.001351
us_000465967,1.000000, 0.001658
pr_001064873,1.000000, 0.001942
pr_001412940,1.000000, 0.003275
us_000520396,1.000000, 0.003548
us_000520377,1.000000, 0.006454
us_000591568,1.000000, 0.024226
us_000593371,1.000000, 0.175503
us_000597179,1.000000, 3.753362
us_000596935,1.000000, 3.763901
us_000478909,0.977465, 0.000001
pr_000720606,0.977465, 0.000001
pr_001061083,0.977465, 0.000001
pr_001061790,0.977465, 0.000001
us_000570776,0.977465, 0.000008
pr_001897476,0.977465, 0.000038
us_000519572,0.977465, 0.000056
us_000508764,0.977465, 0.000056
us_000460538,0.977465, 0.000056
us_000478273,0.977465, 0.000056
pr_001416779,0.977465, 0.000083
pr_001903862,0.977465, 0.000159
pr_001743491,0.977465, 0.000190
pr_000189966,0.977465, 0.000442
pr_001136044,0.977465, 0.000464
