Product ID : 2062 JPs covered : 111 : International Trade, 
OID,Confidence at Map Node,Error at Map Node
pr_000841836,1.000000, 0.000000
us_000477093,1.000000, 0.000000
pr_000265119,1.000000, 0.000006
us_000614908,1.000000, 0.000008
us_000605841,1.000000, 0.000044
pr_000871433,1.000000, 0.000175
us_000608925,1.000000, 0.000233
pr_001751683,1.000000, 0.001087
us_000568848,1.000000, 0.002253
us_000504673,1.000000, 0.870206
us_000496288,1.000000, 1.110889
pr_000092641,0.649427, 0.000000
pr_000440721,0.649427, 0.000044
pr_000113487,0.649427, 0.000641
pr_002082337,0.649427, 0.001057
pr_000111499,0.649427, 0.001156
us_000542958,0.649427, 0.008423
us_000526837,0.649427, 0.008503
us_000464234,0.649427, 0.016782
us_000511140,0.649427, 0.016901
us_000468631,0.649427, 0.027615
us_000526862,0.649427, 0.038904
us_000508903,0.649427, 0.039437
us_000482248,0.649427, 0.043395
us_000257070,0.649427, 0.045031
us_000541620,0.649427, 0.048157
us_000521722,0.649427, 0.048157
us_000506867,0.649427, 0.051469
us_000480667,0.649427, 0.051469
us_000473976,0.649427, 0.061831
us_000477426,0.649427, 0.061831
us_000475430,0.649427, 0.071912
us_000477676,0.649427, 0.079898
us_000499637,0.649427, 0.079898
us_000517198,0.649427, 0.082408
us_000523949,0.649427, 0.089063
us_000536299,0.649427, 0.095989
us_000517338,0.649427, 0.099301
us_000481149,0.649427, 0.100743
us_000012968,0.649427, 0.101598
us_000559652,0.649427, 0.103185
us_000522352,0.649427, 0.103185
us_000542914,0.649427, 0.110651
us_000549841,0.649427, 0.110651
us_000550290,0.649427, 0.110651
us_000541943,0.649427, 0.110651
us_000526872,0.649427, 0.110651
us_000488970,0.649427, 0.115405
us_000468446,0.649427, 0.132682
us_000542960,0.649427, 0.143220
us_000542959,0.649427, 0.143220
us_000542964,0.649427, 0.143220
us_000542546,0.649427, 0.161127
us_000482278,0.649427, 0.161127
us_000516257,0.649427, 0.161127
us_000490306,0.649427, 0.164438
us_000532617,0.649427, 0.170486
