Product ID : 2140 # of JPs covered : 1 : 359 : Antitrust Vertical, 
OID,Confidence at Map Node,Error at Map Node
us_000498197,1.000000, 0.000000
pr_000740906,1.000000, 0.000000
pr_001967944,1.000000, 0.000011
pr_000224326,1.000000, 0.000036
us_000488927,1.000000, 0.049755
us_000480742,1.000000, 0.130554
us_000511020,1.000000, 0.164342
us_000477085,1.000000, 0.168337
us_000509450,1.000000, 0.169265
us_000480874,1.000000, 0.170574
us_000476799,1.000000, 0.180778
us_000475574,1.000000, 0.206792
us_000478933,1.000000, 0.230494
us_000139368,1.000000, 0.237155
us_000482270,1.000000, 0.244563
us_000475845,1.000000, 0.263837
us_000479103,1.000000, 0.265144
us_000477562,1.000000, 0.270463
us_000479176,1.000000, 0.308614
us_000511189,1.000000, 0.309855
us_000494719,1.000000, 0.326443
us_000477666,1.000000, 0.340778
us_000495111,1.000000, 0.393124
us_000521043,1.000000, 0.401608
us_000478073,1.000000, 0.410258
us_000502538,1.000000, 0.410952
us_000510003,1.000000, 0.412781
us_000461562,1.000000, 0.428253
us_000511154,1.000000, 0.435074
us_000543511,1.000000, 0.458003
us_000503550,1.000000, 0.479894
us_000543498,1.000000, 0.484510
us_000503850,1.000000, 0.492269
us_000516944,1.000000, 0.544619
us_000494411,1.000000, 0.549543
us_000462889,1.000000, 0.558442
us_000540932,1.000000, 0.593208
us_000525404,1.000000, 0.620007
us_000550565,1.000000, 0.620647
us_000478848,1.000000, 0.634368
us_000493885,1.000000, 0.641618
us_000472165,1.000000, 0.654475
us_000531222,1.000000, 0.663605
us_000502204,1.000000, 0.685465
us_000550087,1.000000, 0.717369
us_000472292,1.000000, 0.750508
us_000480840,1.000000, 0.762288
us_000553764,1.000000, 0.763258
us_000526232,1.000000, 0.768049
us_000550649,1.000000, 0.775782
us_000549555,1.000000, 0.791966
us_000548951,1.000000, 0.832921
us_000524755,1.000000, 0.922739
pr_000261224,0.868027, 0.001556
pr_000582518,0.868027, 0.001745
us_000479158,0.868027, 0.025083
us_000543143,0.868027, 0.117938
us_000550990,0.868027, 0.125019
us_000517869,0.868027, 0.125019
us_000569163,0.868027, 0.166507
us_000501890,0.868027, 0.196841
us_000525027,0.868027, 0.198692
us_000493688,0.868027, 0.198692
us_000505293,0.868027, 0.199225
us_000495091,0.868027, 0.199687
us_000531017,0.868027, 0.201079
us_000544846,0.868027, 0.202360
us_000511191,0.868027, 0.205081
us_000549537,0.868027, 0.210052
us_000480436,0.868027, 0.220973
us_000492249,0.868027, 0.229602
us_000528558,0.868027, 0.234499
us_000528518,0.868027, 0.234499
us_000528537,0.868027, 0.234499
us_000528492,0.868027, 0.234499
us_000570729,0.868027, 0.237309
us_000540834,0.868027, 0.238614
us_000506198,0.868027, 0.253760
us_000539245,0.868027, 0.263731
us_000524319,0.868027, 0.271753
us_000511190,0.868027, 0.273927
us_000549579,0.868027, 0.273927
us_000520989,0.868027, 0.283133
us_000518774,0.868027, 0.284350
us_000524731,0.868027, 0.284350
us_000500282,0.868027, 0.284350
us_000501931,0.868027, 0.284350
us_000500124,0.868027, 0.284350
us_000523707,0.868027, 0.284350
us_000518772,0.868027, 0.284350
us_000509391,0.868027, 0.284434
us_000263544,0.868027, 0.284670
us_000496602,0.868027, 0.288192
us_000569696,0.868027, 0.288192
us_000497594,0.868027, 0.289353
us_000500471,0.868027, 0.291175
us_000509943,0.868027, 0.295000
us_000526963,0.868027, 0.295000
us_000527263,0.868027, 0.295000
us_000527261,0.868027, 0.295000
