Product ID : 903 # of JPs covered : 1 : 186 : Acct-Tax, 
OID,Confidence at Map Node,Error at Map Node
pr_000544586,1.000000, 0.000153
pr_000655997,1.000000, 0.000154
us_000364996,1.000000, 0.596888
us_000466035,1.000000, 0.684278
us_000486715,1.000000, 0.689540
us_000469205,1.000000, 0.832779
us_000114621,1.000000, 0.833475
us_000460622,1.000000, 0.843450
us_000486285,1.000000, 0.861070
us_000468524,1.000000, 0.868399
us_000017523,1.000000, 0.869274
us_000558231,1.000000, 0.892977
us_000462102,1.000000, 0.903613
us_000470793,1.000000, 0.914978
us_000462382,1.000000, 0.915083
us_000462547,1.000000, 0.921077
us_000470786,1.000000, 0.934243
us_000478304,1.000000, 0.938549
us_000460184,1.000000, 0.957689
us_000464797,1.000000, 0.964129
us_000458890,1.000000, 0.967522
us_000472259,1.000000, 0.972497
us_000466883,1.000000, 0.982688
us_000464301,1.000000, 0.986226
us_000473483,1.000000, 0.997944
us_000458666,1.000000, 1.021758
us_000472564,1.000000, 1.026295
us_000462445,1.000000, 1.027378
us_000461640,1.000000, 1.029534
us_000507682,1.000000, 1.029770
us_000476307,1.000000, 1.032492
us_000464030,1.000000, 1.033851
us_000390577,1.000000, 1.035086
us_000459096,1.000000, 1.036185
us_000466211,1.000000, 1.036302
us_000474317,1.000000, 1.038433
us_000464021,1.000000, 1.040622
us_000474770,1.000000, 1.042996
us_000238702,1.000000, 1.044450
us_000460490,1.000000, 1.046036
us_000471164,1.000000, 1.048876
us_000479370,1.000000, 1.055303
us_000462177,1.000000, 1.056234
us_000217297,1.000000, 1.058353
us_000483061,1.000000, 1.060516
us_000461269,1.000000, 1.061197
us_000471458,1.000000, 1.061853
us_000484881,1.000000, 1.062925
us_000231774,1.000000, 1.069068
us_000489401,1.000000, 1.069587
us_000485428,1.000000, 1.070765
us_000470559,1.000000, 1.071271
us_000255267,1.000000, 1.071745
us_000478760,1.000000, 1.080381
us_000469076,1.000000, 1.080381
us_000434578,1.000000, 1.087021
us_000461593,1.000000, 1.088688
us_000459367,1.000000, 1.090794
us_000469447,1.000000, 1.093823
us_000206005,1.000000, 1.096078
us_000456257,1.000000, 1.099729
us_000467267,1.000000, 1.099882
us_000468386,1.000000, 1.099992
us_000041565,1.000000, 1.100639
us_000466982,1.000000, 1.103090
us_000468894,1.000000, 1.103328
us_000487935,1.000000, 1.105112
us_000010790,1.000000, 1.107438
us_000492628,1.000000, 1.109250
us_000486566,1.000000, 1.109571
