Product ID : 902 # of JPs covered : 1 : 129 : Real Estate/Real Property/Land Use, 
OID,Confidence at Map Node,Error at Map Node
us_000553035,1.000000, 0.000000
us_000502050,1.000000, 0.000000
us_000521094,1.000000, 0.000000
us_000594046,1.000000, 0.000000
us_000460332,1.000000, 0.000000
us_000509415,1.000000, 0.000000
us_000594741,1.000000, 0.000000
us_000472648,1.000000, 0.000000
pr_001063722,1.000000, 0.000000
us_000523182,1.000000, 0.000000
us_000485729,1.000000, 0.000000
us_000117377,1.000000, 0.000000
us_000525785,1.000000, 0.000000
us_000511047,1.000000, 0.000000
us_000525321,1.000000, 0.000000
us_000534734,1.000000, 0.000000
us_000558905,1.000000, 0.000000
us_000494996,1.000000, 0.000000
us_000494375,1.000000, 0.000000
us_000595192,1.000000, 0.000000
pr_001093895,1.000000, 0.000001
pr_001041910,1.000000, 0.000001
pr_001051791,1.000000, 0.000001
us_000502194,1.000000, 0.000002
us_000502723,1.000000, 0.000002
pr_000725016,1.000000, 0.000006
pr_001039818,1.000000, 0.000006
pr_001085488,1.000000, 0.000006
pr_001045293,1.000000, 0.000008
pr_000945558,1.000000, 0.000008
pr_000870781,1.000000, 0.000016
pr_001658733,1.000000, 0.000018
pr_001904929,1.000000, 0.000020
pr_001966318,1.000000, 0.000020
pr_001956982,1.000000, 0.000020
pr_001708352,1.000000, 0.000020
pr_001905520,1.000000, 0.000020
pr_001622675,1.000000, 0.000020
pr_001732422,1.000000, 0.000020
pr_001410899,1.000000, 0.000020
pr_001836189,1.000000, 0.000020
pr_002115192,1.000000, 0.000020
pr_001881303,1.000000, 0.000020
pr_001024313,1.000000, 0.000020
pr_002155699,1.000000, 0.000020
pr_001728765,1.000000, 0.000020
pr_001963266,1.000000, 0.000020
pr_001049619,1.000000, 0.000020
pr_000851935,1.000000, 0.000020
pr_001397828,1.000000, 0.000020
pr_002185346,1.000000, 0.000020
pr_002149275,1.000000, 0.000020
pr_002194526,1.000000, 0.000020
us_000497679,1.000000, 0.000021
pr_000581799,1.000000, 0.000028
pr_000656326,1.000000, 0.000031
pr_001143647,1.000000, 0.000032
pr_001076156,1.000000, 0.000041
pr_001903707,1.000000, 0.000042
pr_001411457,1.000000, 0.000043
us_000516304,1.000000, 0.000048
pr_000188293,1.000000, 0.000048
us_000524387,1.000000, 0.000049
pr_001722513,1.000000, 0.000052
pr_001959955,1.000000, 0.000067
us_000512532,1.000000, 0.000075
pr_001403687,1.000000, 0.000076
us_000511857,1.000000, 0.000095
pr_001403560,1.000000, 0.000103
us_000590222,1.000000, 0.000118
pr_001085899,1.000000, 0.000133
us_000581499,1.000000, 0.000175
pr_001098621,1.000000, 0.000235
pr_000410075,1.000000, 0.000258
us_000588325,1.000000, 0.000515
us_000555876,1.000000, 0.000619
us_000606431,1.000000, 0.000705
us_000598747,1.000000, 0.000735
us_000558078,1.000000, 0.000908
us_000588931,1.000000, 0.001353
us_000591421,1.000000, 0.001739
us_000591062,1.000000, 0.002105
us_000595152,1.000000, 0.002994
us_000557251,1.000000, 0.004607
us_000582132,1.000000, 0.009002
us_000144573,1.000000, 0.010435
us_000542698,1.000000, 0.010629
us_000496250,1.000000, 6.419337
us_000532795,1.000000, 7.006156
us_000589358,1.000000, 8.812871
us_000536695,1.000000, 9.275600
us_000536478,1.000000, 9.304485
us_000514227,1.000000, 9.450528
us_000496340,1.000000, 9.840022
us_000536638,1.000000, 9.885546
us_000536392,1.000000, 10.219716
us_000526673,0.957909, 0.000000
us_000520659,0.957909, 0.000000
us_000583571,0.957909, 0.000000
us_000518872,0.957909, 0.000000
us_000608585,0.957909, 0.000000
us_000564486,0.957909, 0.000000
us_000587702,0.957909, 0.000000
us_000556005,0.957909, 0.000000
us_000594589,0.957909, 0.000000
us_000571941,0.957909, 0.000000
us_000609869,0.957909, 0.000000
us_000615324,0.957909, 0.000000
us_000514465,0.957909, 0.000000
us_000614230,0.957909, 0.000000
us_000561867,0.957909, 0.000000
us_000484897,0.957909, 0.000000
us_000480554,0.957909, 0.000000
us_000566511,0.957909, 0.000000
us_000510383,0.957909, 0.000000
us_000557045,0.957909, 0.000000
us_000481478,0.957909, 0.000000
us_000568936,0.957909, 0.000000
us_000483302,0.957909, 0.000000
pr_001198356,0.957909, 0.000000
us_000459965,0.957909, 0.000000
us_000561609,0.957909, 0.000000
pr_000512936,0.957909, 0.000001
pr_000553708,0.957909, 0.000001
pr_000525022,0.957909, 0.000001
us_000566717,0.957909, 0.000005
us_000488177,0.957909, 0.000005
us_000555845,0.957909, 0.000005
pr_001159357,0.957909, 0.000006
pr_000547930,0.957909, 0.000006
us_000590277,0.957909, 0.000007
us_000566916,0.957909, 0.000008
us_000558506,0.957909, 0.000008
us_000589284,0.957909, 0.000015
us_000582837,0.957909, 0.000240
us_000596575,0.957909, 0.000686
us_000609144,0.957909, 0.000794
us_000584686,0.957909, 0.000828
us_000617081,0.957909, 0.000863
us_000579349,0.957909, 0.001431
us_000599695,0.957909, 0.001849
us_000599987,0.957909, 0.001849
us_000572177,0.957909, 0.002521
us_000549376,0.957909, 0.003183
us_000598769,0.957909, 0.003353
us_000584434,0.957909, 0.004975
us_000501268,0.957909, 0.007158
us_000523697,0.957909, 0.016723
us_000580430,0.957909, 0.030038
us_000496334,0.957909, 0.048682
us_000468274,0.957909, 4.406743
us_000553362,0.957909, 4.538523
us_000523992,0.957909, 5.194504
us_000547588,0.957909, 5.391441
us_000539626,0.957909, 6.676672
us_000535163,0.957909, 6.939778
us_000460249,0.957909, 7.183022
us_000524201,0.957909, 7.585209
us_000553375,0.957909, 8.848219
us_000500796,0.581298, 0.000000
pr_001708016,0.581298, 0.000000
pr_000347321,0.581298, 0.000025
us_000554989,0.581298, 0.000055
us_000474038,0.581298, 0.000081
pr_000992116,0.581298, 0.000101
us_000562351,0.581298, 0.000109
us_000484459,0.581298, 0.000131
us_000035002,0.581298, 0.000131
us_000468571,0.581298, 0.000607
us_000477177,0.581298, 0.000757
us_000467797,0.581298, 0.002155
us_000470665,0.581298, 0.049782
us_000536363,0.581298, 0.237095
us_000563610,0.581298, 1.603246
us_000484144,0.581298, 1.930516
us_000588435,0.581298, 1.940181
us_000491353,0.581298, 2.108172
us_000583568,0.581298, 2.136757
us_000519538,0.581298, 2.187341
us_000597181,0.581298, 2.187347
us_000577725,0.581298, 2.209202
us_000483238,0.581298, 2.254474
us_000531831,0.581298, 2.269098
us_000535150,0.581298, 2.316240
us_000569917,0.581298, 2.476861
us_000543551,0.581298, 2.519060
us_000597203,0.581298, 2.544502
us_000541636,0.581298, 2.550375
us_000541637,0.581298, 2.571108
us_000482021,0.581298, 2.702424
us_000483167,0.581298, 2.715072
us_000572133,0.581298, 2.755579
us_000143088,0.581298, 2.763723
pr_000106847,0.160618, 0.000000
pr_000187056,0.160618, 0.000000
pr_000187147,0.160618, 0.000000
pr_000091335,0.160618, 0.000000
pr_000187423,0.160618, 0.000000
pr_000172255,0.160618, 0.000000
pr_000181349,0.160618, 0.000000
pr_000172701,0.160618, 0.000000
pr_000981686,0.160618, 0.000000
pr_001405255,0.160618, 0.000000
us_000483929,0.160618, 0.000000
