Product ID : 2083 JPs covered : 267 : Criminal Law, 
us_000594945,0.184836, 0.000000
us_000600362,0.184836, 0.000000
us_000578042,0.184836, 0.000000
us_000546096,0.184836, 0.000000
us_000528463,0.184836, 0.000000
us_000578681,0.184836, 0.000000
us_000529022,0.184836, 0.000000
us_000555030,0.184836, 0.000000
us_000600176,0.184836, 0.000000
us_000556872,0.184836, 0.000000
pr_000998664,0.184836, 0.000000
pr_001720986,0.184836, 0.000000
pr_001988076,0.184836, 0.000000
pr_001702580,0.184836, 0.000000
pr_002219174,0.184836, 0.000000
pr_001659615,0.184836, 0.000000
pr_002206423,0.184836, 0.000000
pr_002137183,0.184836, 0.000000
pr_002113139,0.184836, 0.000000
pr_002219354,0.184836, 0.000000
pr_000735359,0.184836, 0.000000
pr_001753027,0.184836, 0.000000
pr_000398873,0.184836, 0.000000
pr_001095224,0.184836, 0.000000
pr_000873226,0.184836, 0.000000
pr_002058183,0.184836, 0.000000
pr_002111489,0.184836, 0.000000
pr_002056324,0.184836, 0.000000
pr_001665231,0.184836, 0.000000
pr_001968687,0.184836, 0.000000
pr_001875940,0.184836, 0.000000
pr_002077018,0.184836, 0.000000
pr_002172955,0.184836, 0.000000
pr_001987437,0.184836, 0.000000
pr_002079803,0.184836, 0.000000
pr_001737179,0.184836, 0.000000
pr_002084836,0.184836, 0.000000
pr_002159714,0.184836, 0.000000
pr_002096421,0.184836, 0.000000
pr_002077582,0.184836, 0.000000
pr_000897168,0.184836, 0.000000
pr_002210105,0.184836, 0.000000
pr_001664602,0.184836, 0.000000
pr_000380080,0.184836, 0.000000
pr_002082021,0.184836, 0.000000
pr_002114194,0.184836, 0.000000
pr_002199044,0.184836, 0.000000
pr_002173841,0.184836, 0.000000
pr_002093370,0.184836, 0.000000
pr_002144286,0.184836, 0.000000
pr_002197744,0.184836, 0.000000
pr_002233560,0.184836, 0.000000
pr_001732892,0.184836, 0.000000
pr_000902044,0.184836, 0.000000
pr_001926681,0.184836, 0.000000
pr_002069980,0.184836, 0.000000
pr_002168209,0.184836, 0.000000
pr_002157461,0.184836, 0.000000
pr_002082042,0.184836, 0.000000
pr_001845821,0.184836, 0.000000
pr_001699276,0.184836, 0.000000
pr_001406876,0.184836, 0.000000
us_000464764,0.184836, 0.000005
us_000522075,0.184836, 0.000005
us_000257941,0.184836, 0.000005
us_000514973,0.184836, 0.000005
us_000495336,0.184836, 0.000005
us_000595950,0.184836, 0.000005
pr_000094828,0.184836, 0.000006
us_000524555,0.184836, 0.000006
pr_001149756,0.184836, 0.000009
pr_001134261,0.184836, 0.000009
pr_000873761,0.184836, 0.000014
us_000460734,0.184836, 0.000015
pr_000892724,0.184836, 0.000015
pr_000893738,0.184836, 0.000016
pr_000718454,0.184836, 0.000018
us_000354198,0.184836, 0.000030
us_000489162,0.184836, 0.000030
us_000372093,0.184836, 0.000030
us_000465434,0.184836, 0.000032
pr_000386786,0.184836, 0.000051
pr_001621737,0.184836, 0.000051
pr_000375581,0.184836, 0.000051
pr_000389354,0.184836, 0.000051
pr_001156807,0.184836, 0.000051
pr_001155052,0.184836, 0.000051
pr_001158641,0.184836, 0.000051
pr_000510914,0.184836, 0.000051
pr_000597223,0.184836, 0.000051
pr_000592536,0.184836, 0.000056
us_000491469,0.184836, 0.000084
us_000546536,0.184836, 0.000195
us_000524537,0.184836, 0.000209
us_000528525,0.184836, 0.000283
us_000575868,0.184836, 0.001216
us_000512693,0.184836, 0.001355
us_000471418,0.184836, 0.001459
pr_001022708,0.184836, 0.001666
us_000568999,0.184836, 0.002910
us_000506679,0.184836, 0.006689
us_000505021,0.184836, 0.008001
us_000485001,0.184836, 0.010282
us_000550494,0.184836, 0.011400
us_000563388,0.184836, 0.011852
us_000600406,0.184836, 0.012203
us_000485516,0.184836, 0.012496
us_000483239,0.184836, 0.056242
us_000595593,0.184836, 0.131385
pr_001326479,0.184836, 0.986497
pr_001637873,0.176913, 0.000000
pr_001056395,0.176913, 0.000000
pr_001856557,0.176913, 0.000000
pr_001389488,0.176913, 0.000000
pr_001834760,0.176913, 0.000000
pr_002081624,0.176913, 0.000000
pr_000852862,0.176913, 0.000000
pr_000374821,0.176913, 0.000000
pr_000386626,0.176913, 0.000000
pr_000508093,0.176913, 0.000000
pr_001035318,0.176913, 0.000000
pr_001034759,0.176913, 0.000000
us_000485407,0.176913, 0.000000
us_000368073,0.176913, 0.000000
us_000600708,0.176913, 0.000000
us_000593063,0.176913, 0.000000
us_000595328,0.176913, 0.000000
us_000545215,0.176913, 0.000000
us_000545830,0.176913, 0.000000
us_000614397,0.176913, 0.000000
us_000486578,0.176913, 0.000000
pr_000640761,0.176913, 0.000001
pr_001707235,0.176913, 0.000001
pr_002124599,0.176913, 0.000002
pr_001907296,0.176913, 0.000002
pr_002096413,0.176913, 0.000002
pr_002052247,0.176913, 0.000002
us_000492420,0.176913, 0.000002
us_000523168,0.176913, 0.000002
us_000489434,0.176913, 0.000003
us_000474079,0.176913, 0.000003
us_000461610,0.176913, 0.000003
us_000479998,0.176913, 0.000003
us_000194359,0.176913, 0.000003
us_000460963,0.176913, 0.000003
us_000495487,0.176913, 0.000004
us_000201775,0.176913, 0.000004
us_000494695,0.176913, 0.000004
us_000599090,0.176913, 0.000004
us_000517625,0.176913, 0.000004
us_000552602,0.176913, 0.000004
us_000588060,0.176913, 0.000004
us_000599070,0.176913, 0.000004
us_000516250,0.176913, 0.000004
us_000533665,0.176913, 0.000004
us_000496698,0.176913, 0.000004
us_000513952,0.176913, 0.000004
us_000616107,0.176913, 0.000004
us_000516990,0.176913, 0.000004
us_000606697,0.176913, 0.000004
us_000615042,0.176913, 0.000004
us_000492919,0.176913, 0.000004
us_000486918,0.176913, 0.000004
us_000584695,0.176913, 0.000004
us_000590120,0.176913, 0.000004
pr_001756731,0.176913, 0.000008
pr_002082318,0.176913, 0.000008
pr_001663930,0.176913, 0.000008
pr_002084756,0.176913, 0.000008
pr_002112608,0.176913, 0.000008
pr_001977699,0.176913, 0.000008
pr_001664698,0.176913, 0.000008
pr_002113896,0.176913, 0.000008
pr_002083870,0.176913, 0.000008
pr_002116388,0.176913, 0.000008
us_000518578,0.176913, 0.000009
us_000564488,0.176913, 0.000014
pr_001966384,0.176913, 0.000015
pr_001665830,0.176913, 0.000015
us_000482131,0.176913, 0.000017
us_000484015,0.176913, 0.000021
us_000487024,0.176913, 0.000028
us_000516965,0.176913, 0.000028
us_000520693,0.176913, 0.000028
us_000510848,0.176913, 0.000028
us_000615491,0.176913, 0.000028
us_000491600,0.176913, 0.000028
us_000577257,0.176913, 0.000028
us_000514447,0.176913, 0.000028
us_000527025,0.176913, 0.000028
us_000598108,0.176913, 0.000028
us_000538400,0.176913, 0.000028
us_000520559,0.176913, 0.000028
us_000589697,0.176913, 0.000028
us_000534279,0.176913, 0.000028
us_000528908,0.176913, 0.000030
pr_002110409,0.176913, 0.000036
pr_001397154,0.176913, 0.000038
pr_002086675,0.176913, 0.000038
pr_002212401,0.176913, 0.000038
pr_002111460,0.176913, 0.000038
pr_002086141,0.176913, 0.000045
pr_002094124,0.176913, 0.000051
us_000500073,0.176913, 0.000063
us_000489655,0.176913, 0.000063
us_000538170,0.176913, 0.000063
us_000488049,0.176913, 0.000063
us_000557284,0.176913, 0.000063
us_000563128,0.176913, 0.000063
us_000579464,0.176913, 0.000073
us_000503255,0.176913, 0.000073
pr_000937983,0.176913, 0.000073
us_000527054,0.176913, 0.000073
us_000599169,0.176913, 0.000073
us_000496329,0.176913, 0.000073
us_000506203,0.176913, 0.000073
us_000611885,0.176913, 0.000073
pr_001054185,0.176913, 0.000073
us_000502713,0.176913, 0.000073
us_000494142,0.176913, 0.000073
us_000590647,0.176913, 0.000079
us_000590715,0.176913, 0.000079
us_000590748,0.176913, 0.000079
us_000590860,0.176913, 0.000079
us_000590580,0.176913, 0.000079
us_000497758,0.176913, 0.000079
us_000590831,0.176913, 0.000079
us_000573157,0.176913, 0.000079
us_000541137,0.176913, 0.000079
us_000590845,0.176913, 0.000079
us_000529735,0.176913, 0.000079
us_000544061,0.176913, 0.000079
us_000562222,0.176913, 0.000079
us_000590595,0.176913, 0.000079
us_000524609,0.176913, 0.000079
us_000590561,0.176913, 0.000079
us_000590645,0.176913, 0.000079
us_000537656,0.176913, 0.000079
us_000590829,0.176913, 0.000079
us_000590563,0.176913, 0.000079
us_000590657,0.176913, 0.000079
us_000590822,0.176913, 0.000079
us_000590765,0.176913, 0.000079
us_000590743,0.176913, 0.000079
us_000590747,0.176913, 0.000079
us_000590714,0.176913, 0.000079
us_000590707,0.176913, 0.000079
us_000590578,0.176913, 0.000079
us_000526887,0.176913, 0.000079
us_000545005,0.176913, 0.000079
us_000590644,0.176913, 0.000079
us_000544683,0.176913, 0.000079
us_000590515,0.176913, 0.000079
us_000590525,0.176913, 0.000079
us_000590529,0.176913, 0.000079
us_000590718,0.176913, 0.000079
us_000540032,0.176913, 0.000079
us_000590850,0.176913, 0.000079
us_000590834,0.176913, 0.000079
us_000590550,0.176913, 0.000079
us_000590556,0.176913, 0.000079
us_000590841,0.176913, 0.000079
us_000590779,0.176913, 0.000079
us_000573979,0.176913, 0.000083
us_000505885,0.176913, 0.000085
us_000567203,0.176913, 0.000099
pr_001660950,0.176913, 0.000099
us_000582171,0.176913, 0.000139
us_000504555,0.176913, 0.000139
us_000484477,0.176913, 0.000139
us_000542316,0.176913, 0.000139
us_000585880,0.176913, 0.000139
us_000499443,0.176913, 0.000139
us_000535772,0.176913, 0.000157
us_000174850,0.176913, 0.000160
us_000519007,0.176913, 0.000230
us_000489249,0.176913, 0.000240
us_000295517,0.176913, 0.000282
us_000465191,0.176913, 0.000291
us_000571428,0.176913, 0.000292
us_000484246,0.176913, 0.000344
us_000580089,0.176913, 0.000396
us_000519516,0.176913, 0.000443
us_000583768,0.176913, 0.000527
pr_000908124,0.176913, 0.000542
pr_000908130,0.176913, 0.000590
us_000549457,0.176913, 0.000616
us_000576071,0.176913, 0.000620
us_000589100,0.176913, 0.000635
pr_001036942,0.176913, 0.000639
us_000544731,0.176913, 0.000989
us_000557977,0.176913, 0.001038
us_000599871,0.176913, 0.001168
us_000611278,0.176913, 0.001203
us_000538591,0.176913, 0.001208
us_000507286,0.176913, 0.001251
us_000557127,0.176913, 0.001344
us_000548745,0.176913, 0.001489
us_000526568,0.176913, 0.001489
us_000556808,0.176913, 0.001496
us_000485552,0.176913, 0.001502
us_000522825,0.176913, 0.001538
us_000480574,0.176913, 0.001587
us_000537067,0.176913, 0.001594
us_000552871,0.176913, 0.001635
us_000512072,0.176913, 0.001832
us_000550459,0.176913, 0.001980
us_000549257,0.176913, 0.001992
pr_000226350,0.176913, 0.002099
us_000513899,0.176913, 0.002139
us_000561752,0.176913, 0.002253
us_000523157,0.176913, 0.002300
us_000494764,0.176913, 0.002344
us_000547195,0.176913, 0.002362
us_000524701,0.176913, 0.002398
us_000509043,0.176913, 0.002404
us_000539645,0.176913, 0.002438
us_000502020,0.176913, 0.002540
us_000566825,0.176913, 0.002605
us_000569854,0.176913, 0.002613
us_000532976,0.176913, 0.002713
us_000503893,0.176913, 0.002744
us_000542141,0.176913, 0.002824
us_000587580,0.176913, 0.003131
us_000526915,0.176913, 0.003168
us_000517459,0.176913, 0.003339
us_000556308,0.176913, 0.003365
us_000556336,0.176913, 0.003387
us_000500890,0.176913, 0.003388
us_000528763,0.176913, 0.003404
us_000532685,0.176913, 0.003502
us_000555484,0.176913, 0.003834
us_000563129,0.176913, 0.003848
us_000536785,0.176913, 0.003867
us_000577786,0.176913, 0.003874
us_000526235,0.176913, 0.004254
us_000502708,0.176913, 0.004254
us_000613996,0.176913, 0.004301
us_000519307,0.176913, 0.004308
us_000615725,0.176913, 0.004393
us_000595829,0.176913, 0.004394
us_000493854,0.176913, 0.004728
us_000492738,0.176913, 0.005030
us_000507371,0.176913, 0.006164
us_000564469,0.176913, 0.007449
us_000531346,0.176913, 0.008269
us_000563492,0.176913, 0.008638
us_000504595,0.176913, 0.009768
us_000528902,0.176913, 0.010292
us_000511335,0.176913, 0.011310
us_000540033,0.176913, 0.013401
us_000480975,0.176913, 0.016102
us_000605586,0.176913, 0.017546
us_000572498,0.176913, 0.019420
us_000535388,0.176913, 0.020265
us_000458704,0.176913, 0.021262
us_000486755,0.176913, 0.024909
us_000501411,0.176913, 0.029463
us_000572839,0.176913, 0.029629
us_000472038,0.176913, 0.030349
us_000497723,0.176913, 0.030859
us_000494579,0.176913, 0.032041
us_000481242,0.176913, 0.034038
us_000562930,0.176913, 0.034880
us_000530025,0.176913, 0.036607
us_000500589,0.176913, 0.040333
us_000478796,0.176913, 0.040442
us_000593309,0.176913, 0.042399
us_000592043,0.176913, 0.049421
us_000579054,0.176913, 0.055969
us_000516082,0.176913, 0.066339
us_000302679,0.176913, 0.066877
us_000547362,0.176913, 0.067653
us_000528730,0.176913, 0.068764
us_000560083,0.176913, 0.082274
us_000488361,0.176913, 0.092010
us_000496235,0.176913, 0.093503
us_000514614,0.176913, 0.093786
us_000473904,0.176913, 0.104884
us_000526920,0.176913, 0.114898
us_000471174,0.176913, 0.190850
us_000550323,0.176913, 0.191377
us_000508259,0.176913, 0.262400
pr_000342992,0.095745, 0.000001
pr_001079859,0.095745, 0.000001
pr_000759341,0.095745, 0.000001
pr_000494608,0.095745, 0.000002
pr_001024895,0.095745, 0.000012
pr_001589004,0.095745, 0.000018
pr_000949087,0.095745, 0.000021
pr_000725347,0.095745, 0.000030
pr_000208534,0.095745, 0.000040
pr_000165704,0.095745, 0.000095
pr_000943695,0.095745, 0.000259
pr_000943873,0.095745, 0.000271
pr_000979142,0.095745, 0.000281
pr_000872454,0.095745, 0.000289
pr_000163032,0.095745, 0.000319
us_000591042,0.095745, 0.000322
pr_000002862,0.095745, 0.000338
pr_000896529,0.095745, 0.000352
pr_000727543,0.095745, 0.000364
pr_000108371,0.095745, 0.000689
pr_000864888,0.095745, 0.000776
pr_000889922,0.095745, 0.001078
us_000614169,0.095745, 0.001787
us_000574039,0.095745, 0.001787
us_000573938,0.095745, 0.001787
us_000573887,0.095745, 0.001787
us_000606808,0.095745, 0.001787
us_000573972,0.095745, 0.001787
us_000574019,0.095745, 0.001844
us_000577081,0.095745, 0.002106
us_000575313,0.095745, 0.002106
us_000575971,0.095745, 0.002494
us_000602276,0.095745, 0.003471
us_000575939,0.095745, 0.004061
us_000001357,0.095745, 0.006418
us_000573987,0.095745, 0.009186
pr_001730728,0.095745, 0.176073
pr_001611421,0.095745, 0.237647
pr_001957177,0.095745, 0.265169
pr_001964933,0.095745, 0.265627
us_000582791,0.095745, 0.294158
us_000502144,0.094681, 0.000000
us_000483787,0.094681, 0.000000
us_000604637,0.094681, 0.000000
us_000542187,0.094681, 0.000000
us_000316696,0.094681, 0.000000
us_000468211,0.094681, 0.000000
pr_000304443,0.094681, 0.000000
pr_000124407,0.094681, 0.000000
pr_001012371,0.094681, 0.000000
pr_000970006,0.094681, 0.000000
pr_000654470,0.094681, 0.000000
pr_000818453,0.094681, 0.000000
pr_001594755,0.094681, 0.000000
pr_000165627,0.094681, 0.000000
pr_001402502,0.094681, 0.000000
pr_000967353,0.094681, 0.000000
pr_002142180,0.094681, 0.000000
pr_000664131,0.094681, 0.000000
pr_000821473,0.094681, 0.000000
pr_000968151,0.094681, 0.000000
pr_000378630,0.094681, 0.000000
pr_001693415,0.094681, 0.000000
pr_000129640,0.094681, 0.000000
pr_001683461,0.094681, 0.000000
pr_000969319,0.094681, 0.000000
pr_000867749,0.094681, 0.000000
pr_000898341,0.094681, 0.000000
pr_001934131,0.094681, 0.000000
pr_001046604,0.094681, 0.000000
pr_000627493,0.094681, 0.000000
pr_000660188,0.094681, 0.000000
pr_001683089,0.094681, 0.000000
pr_001858159,0.094681, 0.000000
pr_000884586,0.094681, 0.000000
pr_000897512,0.094681, 0.000000
pr_001924883,0.094681, 0.000000
pr_000814315,0.094681, 0.000000
pr_000818353,0.094681, 0.000000
pr_000817867,0.094681, 0.000000
pr_000863130,0.094681, 0.000000
pr_000966245,0.094681, 0.000000
pr_000877109,0.094681, 0.000000
pr_001049039,0.094681, 0.000000
pr_000587827,0.094681, 0.000000
pr_000105327,0.094681, 0.000000
pr_000813478,0.094681, 0.000000
pr_000664082,0.094681, 0.000000
pr_000594946,0.094681, 0.000000
pr_000968973,0.094681, 0.000000
pr_001044636,0.094681, 0.000000
pr_000855519,0.094681, 0.000000
pr_002127993,0.094681, 0.000000
pr_001015573,0.094681, 0.000000
pr_000690607,0.094681, 0.000000
pr_000812844,0.094681, 0.000000
pr_001974955,0.094681, 0.000000
pr_000662208,0.094681, 0.000000
pr_000292267,0.094681, 0.000000
pr_001667639,0.094681, 0.000000
pr_000743817,0.094681, 0.000000
pr_000816319,0.094681, 0.000000
pr_000380964,0.094681, 0.000000
pr_000664461,0.094681, 0.000000
pr_001924679,0.094681, 0.000000
pr_001935612,0.094681, 0.000000
pr_000081181,0.094681, 0.000000
pr_000731648,0.094681, 0.000000
pr_001681787,0.094681, 0.000000
pr_001926720,0.094681, 0.000000
pr_002146592,0.094681, 0.000000
pr_000094382,0.094681, 0.000000
pr_000149933,0.094681, 0.000000
pr_000646844,0.094681, 0.000000
pr_002079429,0.094681, 0.000000
pr_000655376,0.094681, 0.000000
pr_000972537,0.094681, 0.000000
pr_001682041,0.094681, 0.000000
pr_000660693,0.094681, 0.000000
pr_002112611,0.094681, 0.000000
pr_000410474,0.094681, 0.000000
pr_000112805,0.094681, 0.000000
pr_000289287,0.094681, 0.000000
pr_000825249,0.094681, 0.000000
pr_000947634,0.094681, 0.000001
pr_000715449,0.094681, 0.000001
pr_001142522,0.094681, 0.000001
pr_000935651,0.094681, 0.000001
pr_000810180,0.094681, 0.000001
pr_001139080,0.094681, 0.000001
pr_000691675,0.094681, 0.000003
us_000468224,0.094681, 0.000003
us_000489168,0.094681, 0.000004
pr_001121733,0.094681, 0.000006
pr_001136254,0.094681, 0.000006
pr_001388232,0.094681, 0.000006
pr_001135203,0.094681, 0.000006
pr_001609800,0.094681, 0.000006
pr_000942100,0.094681, 0.000006
pr_001150087,0.094681, 0.000006
pr_001054005,0.094681, 0.000006
pr_000946728,0.094681, 0.000006
pr_001027512,0.094681, 0.000006
pr_001116212,0.094681, 0.000006
pr_001120102,0.094681, 0.000006
pr_000962674,0.094681, 0.000006
pr_001134550,0.094681, 0.000006
pr_001053286,0.094681, 0.000006
pr_002115396,0.094681, 0.000006
pr_000755065,0.094681, 0.000006
pr_001053137,0.094681, 0.000006
pr_000952022,0.094681, 0.000006
pr_001015173,0.094681, 0.000006
pr_001058210,0.094681, 0.000006
pr_001153756,0.094681, 0.000006
pr_001054266,0.094681, 0.000006
pr_001103994,0.094681, 0.000006
pr_001057208,0.094681, 0.000006
pr_002132991,0.094681, 0.000006
pr_000964553,0.094681, 0.000006
pr_001770183,0.094681, 0.000006
pr_001059181,0.094681, 0.000006
pr_001109759,0.094681, 0.000006
pr_001055182,0.094681, 0.000006
pr_002058010,0.094681, 0.000006
pr_001058134,0.094681, 0.000006
pr_001103356,0.094681, 0.000006
pr_001053028,0.094681, 0.000006
pr_001638575,0.094681, 0.000006
pr_001053604,0.094681, 0.000006
pr_000730917,0.094681, 0.000006
pr_001008292,0.094681, 0.000006
pr_000944902,0.094681, 0.000006
pr_001108300,0.094681, 0.000006
pr_000937120,0.094681, 0.000006
pr_001729068,0.094681, 0.000006
pr_001050473,0.094681, 0.000006
pr_000752980,0.094681, 0.000006
pr_001589144,0.094681, 0.000006
pr_001635690,0.094681, 0.000006
pr_001096356,0.094681, 0.000006
pr_001053177,0.094681, 0.000006
pr_001054558,0.094681, 0.000006
pr_001055302,0.094681, 0.000006
