Product ID : 2137 # of JPs covered : 1 : 226 : Healthcare Litigation, 
OID,Confidence at Map Node,Error at Map Node
pr_000514081,1.000000, 0.000000
pr_000514147,1.000000, 0.000001
pr_000555051,1.000000, 0.000001
us_000580941,1.000000, 0.000201
pr_001700411,1.000000, 0.000381
pr_000335962,1.000000, 0.000414
pr_000588507,1.000000, 0.000541
us_000480053,1.000000, 0.022038
us_000472697,1.000000, 0.136159
us_000479854,1.000000, 0.153403
us_000259088,1.000000, 0.177270
us_000262663,1.000000, 0.181469
us_000480248,1.000000, 0.186645
us_000179824,1.000000, 0.214855
us_000476900,1.000000, 0.242486
us_000479477,1.000000, 0.243904
us_000476961,1.000000, 0.262987
us_000467450,1.000000, 0.279029
us_000466837,1.000000, 0.325925
us_000479459,1.000000, 0.326811
us_000463120,1.000000, 0.326922
us_000483142,1.000000, 0.348897
us_000483101,1.000000, 0.355253
us_000491076,1.000000, 0.360095
us_000540716,1.000000, 0.362920
us_000549327,1.000000, 0.365811
us_000530146,1.000000, 0.369095
us_000540262,1.000000, 0.369095
us_000490223,1.000000, 0.371917
us_000491077,1.000000, 0.372862
us_000485658,1.000000, 0.378411
us_000529956,1.000000, 0.381668
us_000485823,1.000000, 0.408388
us_000549133,1.000000, 0.430823
us_000294319,1.000000, 0.431984
us_000463496,1.000000, 1.196453
pr_000516672,0.967693, 0.000001
pr_000843996,0.967693, 0.000006
us_000493276,0.967693, 0.004936
us_000483073,0.967693, 0.277084
us_000505394,0.967693, 0.282285
us_000464883,0.967693, 0.283420
us_000190203,0.967693, 0.287314
us_000504816,0.967693, 0.288480
us_000470570,0.967693, 0.289120
us_000272596,0.967693, 0.292631
us_000564810,0.967693, 0.295970
us_000523470,0.967693, 0.297210
us_000470802,0.967693, 0.298082
us_000465484,0.967693, 0.298641
us_000466668,0.967693, 0.302989
us_000564461,0.967693, 0.316042
us_000523235,0.967693, 0.322652
us_000219480,0.967693, 0.323242
us_000516710,0.967693, 0.335444
us_000484879,0.967693, 0.338129
us_000522120,0.967693, 0.340523
us_000521745,0.967693, 0.340523
us_000522895,0.967693, 0.340523
us_000490475,0.967693, 0.340569
us_000524693,0.967693, 0.345553
us_000520949,0.967693, 0.354015
us_000505063,0.967693, 0.356335
us_000524781,0.967693, 0.375048
us_000470495,0.967693, 0.441653
us_000491113,0.967693, 0.453306
us_000522929,0.967693, 0.711237
pr_000446633,0.859438, 0.000000
us_000490825,0.859438, 0.000047
us_000477099,0.859438, 0.915898
us_000494625,0.859438, 1.159621
us_000483593,0.859438, 1.159741
us_000466361,0.859438, 1.193660
us_000507871,0.859438, 1.215966
