Job Practice, Group (Category), Probability Segment of training data mapped to node possessing orders in specified JP Group  : 55 | Medical Malpractice (jpg:55,idx:36)
Catgory Probability,Ex Count at BMU,BMU Map Loc
0.9382504,1.0,(34|5)
0.6335878,1.0,(34|4)
0.5510204,1.0,(35|5)
0.5000000,1.0,(34|6)
0.3985507,1.0,(34|3)
0.3750000,1.0,(33|4)
0.3750000,1.0,(33|5)
0.3707865,1.0,(35|4)
0.2500000,1.0,(18|17)
0.1666667,1.0,(2|7)
0.1666667,1.0,(44|3)
0.1282051,1.0,(35|3)
0.1219512,1.0,(35|6)
0.09523810,1.0,(36|0)
0.08510638,1.0,(38|9)
0.08064516,1.0,(41|5)
0.07518797,1.0,(38|10)
0.07017544,1.0,(43|5)
0.06666667,1.0,(38|5)
0.06097561,1.0,(38|4)
0.06060606,1.0,(13|38)
0.05940594,1.0,(43|6)
0.05521473,1.0,(42|1)
0.05263158,1.0,(13|39)
0.05240175,1.0,(40|1)
0.05000000,1.0,(8|9)
0.04347826,1.0,(34|2)
0.04000000,1.0,(14|23)
0.03883495,1.0,(42|2)
0.03703704,1.0,(0|49)
0.03703704,1.0,(43|7)
0.03609342,1.0,(40|6)
0.03252032,1.0,(44|48)
0.03048781,1.0,(39|5)
0.03030303,1.0,(35|46)
0.02941176,1.0,(40|2)
0.02877698,1.0,(39|10)
0.02752294,1.0,(44|4)
0.02739726,1.0,(41|2)
0.02727273,1.0,(37|9)
0.02547771,1.0,(38|8)
0.02469136,1.0,(16|2)
0.02409638,1.0,(1|7)
0.02392345,1.0,(40|3)
0.02380952,1.0,(48|3)
0.02325581,1.0,(26|2)
0.02325581,1.0,(41|7)
0.02255639,1.0,(43|48)
0.02238806,1.0,(43|2)
0.02222222,1.0,(46|48)
0.02189781,1.0,(13|37)
0.02181818,1.0,(15|12)
0.02083333,1.0,(42|4)
0.02066116,1.0,(42|3)
0.01923077,1.0,(0|7)
0.01923077,1.0,(17|12)
0.01913876,1.0,(8|10)
0.01904762,1.0,(41|3)
0.01785714,1.0,(43|1)
0.01714286,1.0,(38|7)
0.01709402,1.0,(10|34)
0.01694915,1.0,(0|33)
0.01680672,1.0,(21|9)
0.01656315,1.0,(39|8)
0.01587302,1.0,(9|24)
0.01587302,1.0,(48|6)
0.01587302,1.0,(48|49)
0.01570681,1.0,(1|2)
0.01568628,1.0,(7|13)
0.01538462,1.0,(14|11)
0.01538462,1.0,(15|35)
0.01459854,1.0,(44|44)
0.01449275,1.0,(41|0)
0.01428571,1.0,(44|5)
0.01398601,1.0,(38|49)
0.01388889,1.0,(37|7)
0.01388889,1.0,(42|46)
0.01379310,1.0,(44|6)
0.01357466,1.0,(43|44)
0.01351351,1.0,(6|16)
0.01333333,1.0,(47|3)
0.01298701,1.0,(44|0)
0.01298701,1.0,(46|49)
0.01265823,1.0,(39|3)
0.01234568,1.0,(39|6)
0.01234568,1.0,(40|8)
0.01190476,1.0,(39|2)
0.01190476,1.0,(40|9)
0.01149425,1.0,(46|5)
0.01149425,1.0,(47|6)
0.01136364,1.0,(17|13)
0.01123596,1.0,(15|9)
0.01111111,1.0,(47|46)
0.01092896,1.0,(18|40)
0.01069519,1.0,(39|9)
0.01067616,1.0,(14|32)
0.01063830,1.0,(37|6)
0.01041667,1.0,(39|7)
0.009900990,1.0,(39|46)
0.009592326,1.0,(44|43)
0.009584664,1.0,(26|1)
0.009523810,1.0,(16|12)
0.009523810,1.0,(16|34)
0.009389671,1.0,(8|20)
0.009259259,1.0,(6|28)
0.009132420,1.0,(14|38)
0.009132420,1.0,(24|28)
0.009090909,1.0,(15|13)
0.008771930,1.0,(17|36)
0.008695652,1.0,(7|47)
0.008695652,1.0,(47|2)
0.008474576,1.0,(41|1)
0.008474576,1.0,(42|5)
0.008438818,1.0,(40|7)
0.008403362,1.0,(18|39)
0.008264462,1.0,(6|12)
0.008196721,1.0,(22|26)
0.008196721,1.0,(38|46)
0.008130081,1.0,(49|5)
0.008064516,1.0,(5|16)
0.008064516,1.0,(37|8)
0.008000000,1.0,(7|48)
0.007490637,1.0,(42|6)
0.007352941,1.0,(9|11)
0.007092198,1.0,(18|11)
0.007092198,1.0,(43|3)
0.007092198,1.0,(44|47)
0.006896552,1.0,(10|2)
0.006711409,1.0,(43|0)
0.006410256,1.0,(7|6)
0.006369427,1.0,(11|34)
0.006369427,1.0,(43|4)
0.006211180,1.0,(6|27)
0.006211180,1.0,(8|16)
0.006134969,1.0,(15|8)
0.005988024,1.0,(17|33)
0.005988024,1.0,(40|47)
0.005830904,1.0,(32|21)
0.005714286,1.0,(16|10)
0.005649718,1.0,(28|0)
0.005405406,1.0,(37|1)
0.005347594,1.0,(36|4)
0.005291005,1.0,(46|4)
0.005208333,1.0,(37|4)
0.005128205,1.0,(15|39)
0.005128205,1.0,(27|24)
0.005050505,1.0,(9|29)
0.004950495,1.0,(40|40)
0.004854369,1.0,(12|19)
0.004854369,1.0,(39|45)
0.004716981,1.0,(13|22)
0.004672897,1.0,(18|12)
0.004618938,1.0,(40|45)
0.004587156,1.0,(44|2)
0.004484305,1.0,(35|17)
0.004347826,1.0,(11|25)
0.004115226,1.0,(2|46)
0.004098360,1.0,(40|46)
0.004000000,1.0,(41|36)
0.003875969,1.0,(32|26)
0.003717472,1.0,(22|21)
0.003558719,1.0,(23|8)
0.003533569,1.0,(38|1)
0.003144654,1.0,(37|0)
0.002702703,1.0,(40|43)
0.002475247,1.0,(41|49)
