Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 126 | Products Liability (jp:126,idx:26)
Class Probability,Ex Count at BMU,BMU Map Loc
0.7934783,146.0,(27|20)
0.6344969,309.0,(27|19)
0.3076923,4.0,(28|19)
0.1076923,7.0,(26|19)
0.07142857,4.0,(14|1)
0.06422018,7.0,(6|5)
0.06122449,18.0,(13|3)
0.05263158,1.0,(21|49)
0.04794521,14.0,(18|10)
0.04761905,1.0,(17|11)
0.04761905,1.0,(18|12)
0.04504504,15.0,(17|39)
0.04255319,2.0,(8|26)
0.04117647,7.0,(23|14)
0.04081633,4.0,(10|3)
0.03973510,6.0,(10|12)
0.03703704,1.0,(9|11)
0.03571429,2.0,(9|1)
0.03409091,3.0,(18|9)
0.02666667,4.0,(19|9)
0.02631579,5.0,(17|7)
0.02580645,4.0,(19|8)
0.02500000,2.0,(19|7)
0.02312139,4.0,(16|4)
0.02222222,1.0,(47|11)
0.02173913,1.0,(20|4)
0.02173913,1.0,(20|5)
0.02150538,2.0,(17|1)
0.02108434,7.0,(12|1)
0.02108434,7.0,(13|49)
0.02051282,8.0,(19|0)
0.01851852,2.0,(22|5)
0.01739130,2.0,(8|46)
0.01739130,6.0,(12|10)
0.01680672,4.0,(10|11)
0.01639344,1.0,(12|14)
0.01639344,2.0,(22|4)
0.01626016,2.0,(15|3)
0.01612903,2.0,(25|5)
0.01587302,2.0,(21|29)
0.01587302,2.0,(47|7)
0.01562500,2.0,(17|5)
0.01546392,6.0,(11|49)
0.01515152,1.0,(17|6)
0.01503759,2.0,(13|5)
0.01492537,1.0,(21|8)
0.01470588,2.0,(19|10)
0.01466276,5.0,(29|7)
0.01428571,2.0,(11|3)
0.01360544,2.0,(24|10)
0.01333333,1.0,(17|4)
0.01327434,3.0,(27|18)
0.01255230,3.0,(13|4)
0.01250000,2.0,(15|49)
0.01250000,1.0,(26|15)
0.01185771,3.0,(6|18)
0.01183432,2.0,(17|12)
0.01149425,2.0,(22|9)
0.01138952,5.0,(24|37)
0.01129944,2.0,(16|39)
0.01098901,1.0,(28|38)
0.01086957,3.0,(15|1)
0.01086957,4.0,(21|0)
0.01086957,2.0,(37|6)
0.01069519,2.0,(23|5)
0.01017812,8.0,(6|46)
0.009845288,7.0,(32|9)
0.009803922,2.0,(15|29)
0.009708738,1.0,(10|49)
0.009685230,4.0,(15|48)
0.009478673,2.0,(24|12)
0.009404388,3.0,(15|7)
0.009216590,2.0,(19|18)
0.008620690,2.0,(25|13)
0.008333334,1.0,(28|18)
0.008064516,1.0,(12|3)
0.007462686,1.0,(27|9)
0.007352941,1.0,(24|15)
0.007299270,1.0,(26|8)
0.007246377,2.0,(20|7)
0.007042253,1.0,(11|23)
0.006920415,2.0,(30|7)
0.006802721,1.0,(11|6)
0.006451613,3.0,(5|20)
0.006451613,3.0,(6|19)
0.006289308,1.0,(13|12)
0.006289308,2.0,(27|15)
0.005952381,1.0,(2|10)
0.005952381,2.0,(28|2)
0.005617978,1.0,(13|13)
0.005617978,3.0,(23|3)
0.005617978,3.0,(23|4)
0.005597015,3.0,(5|5)
0.005376344,1.0,(12|49)
0.005347594,1.0,(14|8)
0.005319149,1.0,(11|5)
0.005291005,1.0,(31|25)
0.004901961,1.0,(11|25)
0.004819277,2.0,(17|40)
0.004773270,2.0,(46|29)
0.004672897,1.0,(25|9)
0.004509583,4.0,(30|9)
0.004424779,2.0,(32|14)
0.004405286,1.0,(7|0)
0.004405286,1.0,(7|1)
0.004310345,1.0,(26|11)
0.004291845,1.0,(9|10)
0.004132231,1.0,(26|5)
0.003921569,1.0,(31|46)
0.003759399,2.0,(21|35)
0.003696858,2.0,(16|20)
0.003636364,1.0,(12|5)
0.003610108,1.0,(29|4)
0.003558719,1.0,(12|11)
0.003490401,2.0,(30|14)
0.003484321,1.0,(16|9)
0.003460208,1.0,(19|46)
0.003289474,1.0,(27|11)
0.003154574,1.0,(11|9)
0.003154574,1.0,(18|7)
0.003115265,1.0,(12|6)
0.003067485,1.0,(45|12)
0.002949852,1.0,(28|13)
0.002728513,2.0,(23|7)
0.002724796,1.0,(24|27)
0.002583979,1.0,(17|8)
0.002421308,1.0,(17|30)
0.002331002,1.0,(29|36)
0.002169197,1.0,(31|8)
0.002105263,1.0,(36|21)
0.001869159,1.0,(18|11)
0.001821494,1.0,(30|5)
0.001808318,1.0,(11|22)
0.001773050,1.0,(16|11)
0.001748252,1.0,(32|8)
0.001647446,1.0,(24|9)
0.001610306,1.0,(9|12)
0.001545595,1.0,(17|21)
0.001510574,1.0,(27|13)
0.001459854,1.0,(16|34)
0.001443001,1.0,(29|22)
0.001353180,1.0,(28|14)
0.001265823,1.0,(9|3)
0.001196172,1.0,(13|6)
0.001186240,1.0,(14|3)
0.001069519,1.0,(25|14)
0.001048218,1.0,(28|39)
0.001048218,1.0,(29|42)
