Product ID : 2090 # of JPs covered : 1 : 380 : M&A-Structuring Deals, 
OID,Confidence at Map Node,Error at Map Node
us_000513021,0.047670, 0.000050
pr_001801207,0.047670, 0.000055
pr_002121650,0.047670, 0.000055
pr_001785803,0.047670, 0.000063
us_000526716,0.047670, 0.000063
pr_001154845,0.047670, 0.000070
pr_000755813,0.047670, 0.000070
pr_001775771,0.047670, 0.000072
us_000516689,0.047670, 0.000080
pr_002038172,0.047670, 0.000080
pr_001027951,0.047670, 0.000094
us_000465997,0.047670, 0.000098
us_000469738,0.047670, 0.000113
us_000461275,0.047670, 0.000113
us_000141844,0.047670, 0.000117
pr_001780587,0.047670, 0.000129
pr_002042257,0.047670, 0.000134
us_000614329,0.047670, 0.000142
pr_001884201,0.047670, 0.000143
us_000215592,0.047670, 0.000163
us_000531255,0.047670, 0.000167
us_000549940,0.047670, 0.000174
us_000478811,0.047670, 0.000183
us_000488851,0.047670, 0.000202
us_000518193,0.047670, 0.000203
pr_001783692,0.047670, 0.000215
us_000479525,0.047670, 0.000218
us_000596966,0.047670, 0.000226
us_000592444,0.047670, 0.000233
us_000533506,0.047670, 0.000233
us_000500173,0.047670, 0.000233
us_000498889,0.047670, 0.000316
us_000510904,0.047670, 0.000324
us_000525420,0.047670, 0.000330
us_000568223,0.047670, 0.000347
us_000483711,0.047670, 0.000417
us_000512248,0.047670, 0.000441
us_000613316,0.047670, 0.000446
us_000479618,0.047670, 0.000463
us_000524552,0.047670, 0.000533
us_000511120,0.047670, 0.000589
pr_000208930,0.047670, 0.000630
us_000225346,0.047670, 0.000637
us_000534794,0.047670, 0.000738
us_000548458,0.047670, 0.000845
us_000583392,0.047670, 0.000950
us_000476394,0.047670, 0.000970
us_000461962,0.047670, 0.000983
us_000487051,0.047670, 0.001018
us_000508586,0.047670, 0.001018
us_000590931,0.047670, 0.001069
us_000592455,0.047670, 0.001069
us_000460758,0.047670, 0.001102
us_000467812,0.047670, 0.001328
us_000616794,0.047670, 0.001337
us_000591487,0.047670, 0.001437
us_000538336,0.047670, 0.001440
us_000548272,0.047670, 0.001455
us_000508363,0.047670, 0.001483
us_000470400,0.047670, 0.001500
us_000480743,0.047670, 0.001581
us_000393232,0.047670, 0.001674
us_000541751,0.047670, 0.001856
us_000499098,0.047670, 0.001920
us_000530241,0.047670, 0.002009
us_000553361,0.047670, 0.002038
pr_001774601,0.047670, 0.002132
us_000579214,0.047670, 0.002192
us_000494194,0.047670, 0.002348
us_000584481,0.047670, 0.002356
us_000502521,0.047670, 0.002367
us_000511786,0.047670, 0.002415
us_000468063,0.047670, 0.002458
us_000525947,0.047670, 0.002513
us_000503687,0.047670, 0.002530
us_000588989,0.047670, 0.002614
us_000580705,0.047670, 0.002723
us_000498095,0.047670, 0.002913
us_000560989,0.047670, 0.003061
us_000546029,0.047670, 0.003299
us_000479473,0.047670, 0.003546
us_000500243,0.047670, 0.003745
us_000558945,0.047670, 0.003768
us_000517162,0.047670, 0.003770
us_000473652,0.047670, 0.004349
us_000541517,0.047670, 0.005343
us_000508132,0.047670, 0.005701
us_000571407,0.047670, 0.005745
us_000580573,0.047670, 0.005801
us_000505900,0.047670, 0.006175
us_000521473,0.047670, 0.006378
us_000487766,0.047670, 0.006938
us_000509684,0.047670, 0.008220
us_000600173,0.047670, 0.008371
us_000551828,0.047670, 0.008436
us_000480956,0.047670, 0.011969
us_000550178,0.047670, 0.015121
us_000563109,0.047670, 0.015635
us_000561107,0.047670, 0.016918
us_000580502,0.047670, 0.016918
us_000583074,0.047670, 0.016918
us_000596690,0.047670, 0.016918
us_000464386,0.047670, 0.017037
us_000579820,0.047670, 0.017286
us_000470069,0.047670, 0.017612
us_000508028,0.047670, 0.018692
us_000499925,0.047670, 0.019673
us_000525843,0.047670, 0.019887
us_000500903,0.047670, 0.022190
us_000521051,0.047670, 0.022801
us_000027597,0.047670, 0.023207
us_000517450,0.047670, 0.024244
us_000473774,0.047670, 0.024625
us_000506678,0.047670, 0.024854
us_000528006,0.047670, 0.025288
us_000617039,0.047670, 0.027844
us_000568136,0.047670, 0.028889
us_000498404,0.047670, 0.028993
us_000526994,0.047670, 0.029582
us_000533880,0.047670, 0.029878
us_000550675,0.047670, 0.030046
us_000527023,0.047670, 0.032272
us_000517878,0.047670, 0.032291
us_000489336,0.047670, 0.036534
us_000473591,0.047670, 0.036961
us_000587861,0.047670, 0.041871
us_000592560,0.047670, 0.042341
us_000521761,0.047670, 0.051437
us_000562140,0.047670, 0.066025
us_000507744,0.047670, 0.070828
us_000538344,0.047670, 0.073138
us_000545914,0.047670, 0.085027
us_000559135,0.047670, 0.089871
us_000543691,0.047670, 0.092093
us_000480792,0.047670, 0.099396
us_000522564,0.047670, 0.116936
us_000543851,0.047670, 0.143956
us_000549243,0.047670, 0.226650
us_000563118,0.047670, 0.287916
us_000555873,0.047670, 0.333005
us_000425859,0.047670, 0.588824
us_000496383,0.047670, 0.683060
us_000467531,0.019998, 0.000000
us_000492676,0.019998, 0.000000
us_000467581,0.019998, 0.000000
us_000592377,0.019998, 0.000000
pr_001002689,0.019998, 0.000000
pr_001894438,0.019998, 0.000003
us_000547152,0.019998, 0.000007
us_000481473,0.019998, 0.004569
us_000542773,0.019998, 0.177274
us_000546034,0.019998, 0.207914
