Product ID : 2085 # of JPs covered : 1 : 333 : Bankruptcy-Asset-Recovery, 
OID,Confidence at Map Node,Error at Map Node
us_000484626,1.000000, 2.488626
us_000525818,1.000000, 2.625581
us_000484877,1.000000, 2.655477
us_000484887,1.000000, 2.686118
us_000517000,1.000000, 2.755987
us_000515610,1.000000, 2.914133
us_000536995,1.000000, 2.921868
pr_001117336,0.985300, 0.000001
us_000484740,0.985300, 0.038569
us_000463362,0.985300, 3.437291
us_000495614,0.985300, 3.733348
us_000494954,0.985300, 3.786176
us_000576951,0.985300, 3.922237
us_000540594,0.985300, 3.990994
us_000494794,0.985300, 4.018619
us_000522068,0.985300, 4.085480
us_000517137,0.985300, 4.113553
us_000516904,0.985300, 4.172709
us_000503228,0.985300, 4.174875
us_000487806,0.985300, 4.180322
us_000547172,0.985300, 4.217636
us_000515609,0.985300, 4.235786
us_000468498,0.985300, 4.322466
us_000520998,0.903773, 0.000000
pr_002131524,0.903773, 0.000000
pr_001684346,0.903773, 0.000000
pr_001018932,0.903773, 0.000000
pr_002141441,0.903773, 0.000000
pr_000413445,0.903773, 0.000000
pr_000628165,0.903773, 0.000000
pr_000454330,0.903773, 0.000000
pr_000826627,0.903773, 0.000000
pr_000891587,0.903773, 0.000000
pr_001909445,0.903773, 0.000000
pr_001635495,0.903773, 0.000000
pr_001734200,0.903773, 0.000000
pr_001635070,0.903773, 0.000000
pr_000824697,0.903773, 0.000000
pr_000625925,0.903773, 0.000001
pr_000887331,0.903773, 0.000001
pr_000768974,0.903773, 0.000001
pr_000737219,0.903773, 0.000011
pr_000884679,0.903773, 0.000317
us_000497856,0.903773, 1.904602
us_000481821,0.903773, 2.208065
us_000486854,0.903773, 2.293633
us_000492449,0.903773, 2.310500
us_000510411,0.903773, 2.349105
us_000487831,0.903773, 2.369177
us_000491348,0.903773, 2.407476
us_000535760,0.903773, 2.517771
us_000473243,0.903773, 2.531175
us_000496366,0.903773, 2.545263
us_000533396,0.903773, 2.556550
us_000515878,0.903773, 2.570904
us_000519318,0.903773, 2.582807
us_000522809,0.903773, 2.614894
us_000499997,0.903773, 2.655034
us_000475389,0.903773, 2.656923
us_000492046,0.903773, 2.662038
us_000496875,0.903773, 2.682639
us_000535864,0.903773, 2.723577
us_000477527,0.903773, 2.724568
us_000058873,0.903773, 2.751217
us_000535661,0.903773, 2.773106
us_000529607,0.903773, 2.794048
us_000493713,0.903773, 2.800735
us_000525338,0.903773, 2.852850
us_000576227,0.903773, 2.856922
us_000532326,0.903773, 2.916571
us_000477528,0.903773, 2.939668
us_000541439,0.903773, 2.940261
us_000510006,0.903773, 2.943415
us_000493955,0.903773, 2.948580
us_000521662,0.903773, 2.950938
us_000500106,0.903773, 2.960663
us_000546456,0.903773, 2.961467
us_000498571,0.903773, 2.990006
us_000516222,0.903773, 2.992189
us_000501023,0.903773, 2.992189
us_000502725,0.903773, 2.992470
us_000482865,0.903773, 3.005139
us_000477464,0.903773, 3.015821
us_000500935,0.903773, 3.018813
us_000499565,0.903773, 3.028676
us_000599700,0.903773, 3.052369
us_000521294,0.903773, 3.072110
us_000065098,0.903773, 3.072722
us_000524064,0.903773, 3.079230
us_000523081,0.903773, 3.096975
us_000502627,0.903773, 3.197561
pr_000006707,0.809844, 0.000000
pr_000597583,0.809844, 0.000000
us_000554939,0.809844, 0.000100
us_000461633,0.809844, 0.000164
us_000567106,0.809844, 0.000209
pr_000412083,0.809844, 0.000499
us_000538437,0.809844, 0.038790
us_000476146,0.809844, 1.215634
us_000485864,0.809844, 1.261183
us_000489213,0.809844, 1.314387
us_000474355,0.809844, 1.375535
us_000521298,0.809844, 1.404043
us_000528134,0.809844, 1.411857
us_000485855,0.809844, 1.424424
us_000480632,0.809844, 1.439389
us_000486369,0.809844, 1.481342
us_000471399,0.809844, 1.484350
us_000489681,0.809844, 1.583670
us_000483456,0.809844, 1.604386
us_000486122,0.809844, 1.617206
us_000485918,0.809844, 1.646315
us_000490370,0.809844, 1.661593
us_000498309,0.809844, 1.664123
us_000523908,0.809844, 1.670020
us_000536592,0.809844, 1.673073
us_000528046,0.809844, 1.676288
us_000483304,0.809844, 1.686363
us_000473673,0.809844, 1.687984
us_000484651,0.809844, 1.693683
us_000487269,0.809844, 1.693815
us_000533910,0.809844, 1.696817
us_000529063,0.809844, 1.719229
us_000496506,0.809844, 1.730417
us_000497972,0.809844, 1.733462
us_000485911,0.809844, 1.735494
us_000492903,0.809844, 1.735935
us_000543680,0.809844, 1.741374
us_000486238,0.809844, 1.755137
us_000218926,0.809844, 1.776257
us_000493768,0.809844, 1.791775
us_000487974,0.809844, 1.800810
us_000535852,0.809844, 1.803787
us_000475271,0.809844, 1.804851
us_000493403,0.809844, 1.806105
us_000502340,0.809844, 1.812446
us_000500881,0.809844, 1.823745
us_000486484,0.809844, 1.828778
us_000535882,0.809844, 1.828778
us_000485571,0.809844, 1.828778
us_000489601,0.809844, 1.837782
us_000507434,0.809844, 1.841290
us_000490810,0.809844, 1.858664
us_000227271,0.809844, 1.866398
us_000485859,0.809844, 1.867802
us_000559908,0.809844, 1.868652
us_000485903,0.809844, 1.868854
us_000475179,0.809844, 1.872872
us_000492938,0.809844, 1.873896
us_000489518,0.809844, 1.880681
us_000529108,0.809844, 1.881732
us_000484832,0.809844, 1.881733
us_000513508,0.809844, 1.896798
us_000489085,0.809844, 1.903688
us_000485772,0.809844, 1.938977
pr_000831976,0.775361, 0.000000
pr_000234917,0.775361, 0.000001
us_000495902,0.775361, 1.383648
us_000585751,0.775361, 1.421183
us_000488853,0.775361, 1.495273
us_000461885,0.775361, 1.498786
us_000492937,0.775361, 1.501018
us_000570676,0.775361, 1.521901
us_000531992,0.775361, 1.558891
us_000498732,0.775361, 1.594820
us_000464856,0.775361, 1.609174
us_000501109,0.775361, 1.613002
us_000539827,0.775361, 1.627038
us_000484538,0.775361, 1.635456
us_000494869,0.775361, 1.643979
us_000586115,0.775361, 1.671524
us_000461511,0.775361, 1.681925
us_000536116,0.775361, 1.692389
us_000540987,0.775361, 1.696353
us_000475932,0.775361, 1.701774
us_000491145,0.775361, 1.703575
us_000490021,0.775361, 1.706165
us_000605419,0.775361, 1.708823
us_000500030,0.775361, 1.709938
us_000491297,0.775361, 1.733666
us_000493069,0.775361, 1.735012
us_000480617,0.775361, 1.735316
us_000487272,0.775361, 1.740752
us_000526228,0.775361, 1.743146
us_000509217,0.775361, 1.748609
us_000502882,0.775361, 1.751189
us_000497947,0.775361, 1.755779
us_000515624,0.775361, 1.770823
us_000486495,0.775361, 1.805736
us_000498713,0.775361, 1.809445
us_000521475,0.775361, 1.819522
pr_001129814,0.747656, 0.000000
pr_001130253,0.747656, 0.000000
pr_001401058,0.747656, 0.000000
pr_001126350,0.747656, 0.000000
pr_001130343,0.747656, 0.000000
pr_001014452,0.747656, 0.000000
pr_001128564,0.747656, 0.000000
pr_000553631,0.747656, 0.000000
pr_000979388,0.747656, 0.000000
pr_001126527,0.747656, 0.000000
pr_001128467,0.747656, 0.000000
pr_000979316,0.747656, 0.000000
pr_001128274,0.747656, 0.000000
us_000558652,0.747656, 0.000000
us_000542920,0.747656, 0.000000
us_000553651,0.747656, 0.000000
pr_001612512,0.747656, 0.000000
pr_000689893,0.747656, 0.000000
pr_001661875,0.747656, 0.000003
pr_001056907,0.747656, 0.000003
pr_000733337,0.747656, 0.000003
pr_001682170,0.747656, 0.000003
pr_000626543,0.747656, 0.000003
pr_001008637,0.747656, 0.000004
pr_002095344,0.747656, 0.000004
us_000537309,0.747656, 0.000006
pr_000526777,0.747656, 0.000007
pr_001013248,0.747656, 0.000007
pr_001033568,0.747656, 0.000012
pr_000847702,0.747656, 0.000015
pr_002062722,0.747656, 0.000019
pr_001999429,0.747656, 0.000020
pr_000633068,0.747656, 0.000026
us_000597549,0.747656, 0.000044
us_000551173,0.747656, 0.000098
us_000542916,0.747656, 0.000543
us_000476765,0.747656, 0.000860
us_000546502,0.747656, 0.001415
us_000594803,0.747656, 0.002058
us_000483853,0.747656, 0.003330
us_000478803,0.747656, 0.016506
us_000545942,0.747656, 0.032574
us_000537082,0.747656, 0.038749
us_000497706,0.747656, 0.065039
us_000531618,0.747656, 4.458370
us_000491042,0.747656, 4.718196
us_000614007,0.507949, 0.000000
us_000579584,0.507949, 0.000001
pr_000811684,0.507949, 0.000014
pr_001008642,0.507949, 0.000034
us_000591676,0.507949, 0.000070
pr_001393097,0.507949, 0.000075
pr_000292008,0.507949, 0.000075
pr_000976558,0.507949, 0.000075
pr_001581120,0.507949, 0.000075
pr_000846122,0.507949, 0.000075
pr_000694566,0.507949, 0.000075
pr_000816001,0.507949, 0.000075
pr_000587451,0.507949, 0.000075
pr_000812083,0.507949, 0.000075
pr_000990603,0.507949, 0.000075
pr_001050782,0.507949, 0.000075
pr_000948664,0.507949, 0.000075
pr_001078712,0.507949, 0.000075
pr_000836651,0.507949, 0.000101
pr_000291763,0.507949, 0.000129
pr_000900143,0.507949, 0.000147
pr_000335205,0.507949, 0.000163
us_000591679,0.507949, 0.000179
pr_000989145,0.507949, 0.000231
pr_000769560,0.507949, 0.000245
us_000604368,0.507949, 0.000261
pr_001583770,0.507949, 0.000265
pr_000985350,0.507949, 0.000336
pr_000953342,0.507949, 0.000664
pr_000343248,0.507949, 0.000664
pr_000944114,0.507949, 0.000664
pr_000958584,0.507949, 0.000664
pr_000952750,0.507949, 0.000664
pr_002056356,0.507949, 0.000664
pr_000960086,0.507949, 0.000664
pr_000648118,0.507949, 0.000664
pr_001013456,0.507949, 0.000664
pr_000817392,0.507949, 0.000673
pr_000759739,0.507949, 0.000679
pr_001611431,0.507949, 0.000753
pr_000730907,0.507949, 0.000753
pr_000943183,0.507949, 0.000753
pr_001686073,0.507949, 0.000817
pr_001651438,0.507949, 0.000834
pr_001954439,0.507949, 0.000879
pr_001012546,0.507949, 0.000934
pr_001003537,0.507949, 0.001022
pr_000628353,0.507949, 0.001070
pr_002139046,0.507949, 0.001153
pr_000756940,0.507949, 0.001234
pr_000092933,0.507949, 0.001312
us_000497147,0.507949, 0.001508
us_000510323,0.507949, 0.001508
us_000542463,0.507949, 0.001508
pr_001686026,0.507949, 0.001812
pr_000690384,0.507949, 0.001936
pr_000666471,0.507949, 0.001955
pr_000845920,0.507949, 0.002341
pr_000759221,0.507949, 0.002533
us_000490526,0.507949, 0.005416
us_000500303,0.507949, 0.005858
us_000598732,0.507949, 0.005946
us_000557539,0.507949, 0.006657
us_000536764,0.507949, 0.006935
us_000494504,0.507949, 0.007796
us_000611276,0.507949, 0.007807
us_000488330,0.507949, 0.010306
us_000523477,0.507949, 0.021918
us_000523609,0.507949, 0.025177
us_000549475,0.507949, 0.029777
us_000522323,0.507949, 0.037256
us_000490156,0.507949, 0.053228
us_000500308,0.507949, 0.056203
us_000379896,0.507949, 0.110415
us_000481771,0.507949, 0.110844
us_000486078,0.502380, 0.477023
us_000484572,0.502380, 0.484699
us_000518198,0.502380, 0.486282
us_000536263,0.502380, 0.519977
us_000518246,0.502380, 0.524490
us_000497263,0.502380, 0.524490
us_000478914,0.502380, 0.563255
us_000552026,0.502380, 0.568829
us_000496778,0.502380, 0.568829
us_000476984,0.502380, 0.574505
us_000536226,0.502380, 0.575941
us_000520162,0.502380, 0.578088
us_000568178,0.502380, 0.586131
us_000537338,0.502380, 0.587262
us_000532788,0.502380, 0.587280
us_000487674,0.502380, 0.588619
us_000534863,0.502380, 0.594475
us_000515354,0.502380, 0.602508
us_000532229,0.502380, 0.604782
us_000485396,0.502380, 0.605454
us_000494562,0.502380, 0.616716
us_000561474,0.502380, 0.624208
us_000077262,0.502380, 0.624715
us_000540980,0.502380, 0.625438
us_000539507,0.502380, 0.629520
us_000522167,0.502380, 0.633265
us_000590202,0.502380, 0.633369
us_000497999,0.502380, 0.634697
us_000498451,0.502380, 0.634697
us_000476344,0.502380, 0.637816
us_000497931,0.502380, 0.637816
us_000552708,0.502380, 0.638392
us_000222785,0.502380, 0.644574
us_000537870,0.502380, 0.645743
us_000553310,0.502380, 0.646851
us_000535845,0.502380, 0.647075
us_000500526,0.502380, 0.650367
us_000483046,0.502380, 0.653597
us_000599800,0.502380, 0.659271
us_000389048,0.502380, 0.669928
us_000569944,0.502380, 0.683588
us_000526337,0.502380, 0.684446
us_000499029,0.502380, 0.684931
us_000460290,0.501091, 0.000000
us_000072381,0.501091, 0.000000
us_000476315,0.501091, 0.000000
us_000478975,0.501091, 0.000000
us_000468053,0.501091, 0.000000
us_000469520,0.501091, 0.000000
us_000492739,0.501091, 0.000000
us_000605719,0.501091, 0.000552
us_000483626,0.501091, 0.686523
us_000492077,0.501091, 0.981904
us_000511378,0.501091, 1.071741
us_000509915,0.501091, 1.083894
us_000494803,0.501091, 1.093896
us_000489669,0.501091, 1.099309
us_000494510,0.501091, 1.101313
us_000473499,0.501091, 1.102590
us_000487702,0.501091, 1.149866
us_000581693,0.501091, 1.203308
us_000510792,0.501091, 1.226641
us_000494412,0.501091, 1.226641
us_000510250,0.501091, 1.226641
us_000507976,0.501091, 1.234251
us_000494300,0.501091, 1.280890
us_000591417,0.501091, 1.285787
us_000463885,0.501091, 1.327110
us_000487727,0.501091, 1.336450
us_000494542,0.501091, 1.351215
us_000494544,0.501091, 1.368616
us_000494547,0.501091, 1.368616
us_000494545,0.501091, 1.368616
us_000494549,0.501091, 1.370322
us_000508105,0.501091, 1.370749
us_000512677,0.501091, 1.388099
us_000494575,0.501091, 1.388099
