Product ID : 2129 # of JPs covered : 1 : 291 : Healthcare Business, 
OID,Confidence at Map Node,Error at Map Node
pr_001078942,1.000000, 0.000000
us_000193384,1.000000, 0.610326
us_000465797,1.000000, 0.708112
us_000500003,1.000000, 0.772235
us_000493064,1.000000, 0.805068
us_000472888,1.000000, 0.888778
us_000464729,1.000000, 0.895302
us_000459190,1.000000, 0.902215
us_000476288,1.000000, 0.926899
us_000189413,1.000000, 0.929924
us_000461346,1.000000, 0.933223
us_000572972,1.000000, 0.941307
us_000492537,1.000000, 0.952516
us_000461871,1.000000, 0.977649
us_000464819,1.000000, 0.995150
us_000477146,1.000000, 0.999052
us_000523524,1.000000, 1.018222
us_000484464,1.000000, 1.029445
us_000541806,1.000000, 1.039172
us_000504827,1.000000, 1.069418
us_000532718,1.000000, 1.082482
us_000472329,1.000000, 1.083835
us_000468283,1.000000, 1.093570
us_000482132,1.000000, 1.101347
us_000190568,1.000000, 1.103018
us_000338386,1.000000, 1.123557
us_000472341,1.000000, 1.127786
us_000480109,1.000000, 1.147320
us_000494129,1.000000, 1.163563
us_000504849,1.000000, 1.163684
us_000512322,1.000000, 1.167659
us_000462740,1.000000, 1.172765
us_000459144,1.000000, 1.174649
us_000518717,1.000000, 1.177071
us_000340053,1.000000, 1.177263
us_000552043,1.000000, 1.178638
us_000476157,1.000000, 1.185177
us_000471603,1.000000, 1.189428
us_000468305,1.000000, 1.191335
us_000119941,1.000000, 1.200858
us_000471427,1.000000, 1.209651
us_000532776,1.000000, 1.215853
us_000481613,1.000000, 1.222075
us_000498013,1.000000, 1.223376
us_000470026,1.000000, 1.225285
us_000533704,1.000000, 1.229175
us_000504735,1.000000, 1.230548
us_000459562,1.000000, 1.243109
us_000530012,1.000000, 1.271838
us_000486432,1.000000, 1.274984
us_000513010,1.000000, 1.292641
us_000501336,1.000000, 1.537526
us_000545456,1.000000, 2.352232
pr_000871401,0.954746, 0.000000
pr_000881152,0.954746, 0.000071
us_000591112,0.954746, 0.000142
us_000567883,0.954746, 0.000156
us_000609301,0.954746, 0.000211
pr_001690175,0.954746, 0.000660
us_000489855,0.954746, 0.000786
