Product ID : 2132 JPs covered : 332 : Bankruptcy-Reorganization, 
OID,Confidence at Map Node,Error at Map Node
us_000526228,0.497220, 1.743146
us_000509217,0.497220, 1.748609
us_000502882,0.497220, 1.751189
us_000497947,0.497220, 1.755779
us_000515624,0.497220, 1.770823
us_000486495,0.497220, 1.805736
us_000498713,0.497220, 1.809445
us_000521475,0.497220, 1.819522
pr_002046045,0.425587, 0.000000
pr_001778570,0.425587, 0.000000
pr_001778701,0.425587, 0.000000
pr_001775957,0.425587, 0.000000
pr_001801960,0.425587, 0.000000
pr_001809086,0.425587, 0.000000
pr_001803592,0.425587, 0.000000
pr_001779428,0.425587, 0.000000
pr_000748519,0.425587, 0.000000
pr_001782096,0.425587, 0.000000
pr_002001468,0.425587, 0.000000
pr_001864165,0.425587, 0.000000
pr_001854092,0.425587, 0.000000
pr_001792243,0.425587, 0.000000
pr_001790475,0.425587, 0.000000
pr_002045860,0.425587, 0.000000
pr_001888076,0.425587, 0.000000
pr_001780997,0.425587, 0.000000
pr_001787742,0.425587, 0.000000
pr_001788807,0.425587, 0.000000
pr_001775158,0.425587, 0.000000
pr_002041730,0.425587, 0.000000
pr_001789345,0.425587, 0.000000
pr_001893310,0.425587, 0.000000
pr_002014622,0.425587, 0.000000
pr_001807085,0.425587, 0.000000
pr_001801550,0.425587, 0.000000
pr_001855520,0.425587, 0.000000
pr_001790182,0.425587, 0.000000
pr_002038214,0.425587, 0.000000
pr_001888505,0.425587, 0.000000
pr_001792214,0.425587, 0.000000
pr_001888259,0.425587, 0.000000
pr_001784218,0.425587, 0.000000
pr_001723260,0.425587, 0.000000
pr_001887259,0.425587, 0.000000
pr_002046060,0.425587, 0.000000
pr_002045508,0.425587, 0.000000
pr_001853070,0.425587, 0.000000
pr_002027453,0.425587, 0.000000
pr_002015461,0.425587, 0.000000
pr_001782314,0.425587, 0.000000
pr_001776950,0.425587, 0.000000
pr_002039158,0.425587, 0.000000
pr_001800718,0.425587, 0.000000
pr_001887074,0.425587, 0.000000
pr_001893720,0.425587, 0.000000
pr_001778720,0.425587, 0.000000
pr_002044527,0.425587, 0.000000
pr_001778244,0.425587, 0.000000
pr_001939377,0.425587, 0.000000
pr_001808991,0.425587, 0.000000
pr_001801516,0.425587, 0.000000
pr_001888383,0.425587, 0.000000
pr_001887909,0.425587, 0.000000
pr_001807756,0.425587, 0.000000
pr_001886976,0.425587, 0.000000
pr_001851210,0.425587, 0.000000
pr_002036846,0.425587, 0.000000
pr_001942498,0.425587, 0.000000
pr_001939003,0.425587, 0.000000
pr_001785022,0.425587, 0.000000
pr_001806660,0.425587, 0.000000
pr_001789866,0.425587, 0.000000
pr_001939951,0.425587, 0.000000
pr_001789882,0.425587, 0.000000
pr_001883045,0.425587, 0.000000
pr_001940739,0.425587, 0.000000
pr_001808080,0.425587, 0.000000
pr_001804044,0.425587, 0.000000
pr_001894852,0.425587, 0.000000
pr_002046720,0.425587, 0.000000
pr_000321042,0.425587, 0.000000
pr_001669504,0.425587, 0.000000
pr_000100881,0.425587, 0.000000
pr_000416456,0.425587, 0.000000
pr_000217600,0.425587, 0.000000
pr_000889566,0.425587, 0.000000
pr_001095196,0.425587, 0.000000
pr_000940023,0.425587, 0.000000
pr_000019526,0.425587, 0.000000
pr_001025461,0.425587, 0.000000
pr_001899472,0.425587, 0.000000
pr_002159986,0.425587, 0.000000
pr_000311069,0.425587, 0.000000
pr_002169387,0.425587, 0.000000
pr_001902389,0.425587, 0.000000
pr_002195202,0.425587, 0.000000
pr_001667457,0.425587, 0.000000
pr_002056314,0.425587, 0.000000
pr_000962802,0.425587, 0.000000
pr_000833285,0.425587, 0.000000
pr_000084796,0.425587, 0.000000
pr_000742101,0.425587, 0.000000
pr_000995430,0.425587, 0.000000
pr_002159674,0.425587, 0.000000
pr_001691496,0.425587, 0.000000
pr_000787486,0.425587, 0.000000
pr_002067179,0.425587, 0.000000
pr_001927824,0.425587, 0.000000
pr_000980070,0.425587, 0.000000
pr_000624374,0.425587, 0.000000
pr_001015676,0.425587, 0.000000
pr_000802855,0.425587, 0.000000
pr_001739022,0.425587, 0.000000
pr_001955073,0.425587, 0.000000
pr_002082631,0.425587, 0.000000
pr_001906052,0.425587, 0.000000
pr_000418004,0.425587, 0.000000
pr_001950046,0.425587, 0.000000
pr_002155532,0.425587, 0.000000
pr_001093925,0.425587, 0.000000
pr_001981636,0.425587, 0.000000
pr_001735013,0.425587, 0.000000
pr_002160037,0.425587, 0.000000
pr_000013887,0.425587, 0.000000
pr_001911149,0.425587, 0.000000
pr_000997378,0.425587, 0.000000
pr_000426594,0.425587, 0.000000
pr_002161109,0.425587, 0.000000
pr_001898355,0.425587, 0.000000
pr_001935962,0.425587, 0.000000
pr_001719205,0.425587, 0.000000
pr_002192204,0.425587, 0.000000
pr_001096969,0.425587, 0.000000
pr_000024315,0.425587, 0.000000
pr_001983418,0.425587, 0.000000
pr_000419929,0.425587, 0.000000
pr_000426131,0.425587, 0.000000
pr_001907687,0.425587, 0.000000
pr_000740839,0.425587, 0.000000
pr_000107153,0.425587, 0.000000
pr_000312107,0.425587, 0.000000
pr_001602856,0.425587, 0.000000
pr_001075554,0.425587, 0.000000
pr_002079977,0.425587, 0.000000
pr_002159957,0.425587, 0.000000
pr_000227784,0.425587, 0.000000
pr_001417964,0.425587, 0.000000
pr_001949354,0.425587, 0.000000
pr_002072168,0.425587, 0.000000
pr_000741488,0.425587, 0.000000
pr_001764356,0.425587, 0.000000
pr_001967259,0.425587, 0.000000
pr_000783849,0.425587, 0.000000
pr_001870854,0.425587, 0.000000
us_000520972,0.425587, 0.000000
us_000493215,0.425587, 0.000001
us_000481566,0.425587, 0.000001
pr_000400779,0.425587, 0.000001
pr_000740472,0.425587, 0.000001
pr_001781451,0.425587, 0.000002
