Product ID : 1025 # of JPs covered : 1 : 138 : Tax Law, 
OID,Confidence at Map Node,Error at Map Node
us_000561151,1.000000, 0.000000
us_000554871,1.000000, 0.000000
us_000539738,1.000000, 0.000000
us_000596108,1.000000, 0.000000
us_000597207,1.000000, 0.000000
pr_000585805,1.000000, 0.000098
pr_000133702,1.000000, 0.000112
pr_000184510,1.000000, 0.000125
pr_000594825,1.000000, 0.000182
pr_000101458,1.000000, 0.001905
pr_000083242,1.000000, 0.002184
us_000571039,1.000000, 0.002627
us_000509532,1.000000, 0.004697
us_000526839,1.000000, 0.006463
us_000543058,1.000000, 0.025804
us_000495292,1.000000, 4.614023
us_000459150,1.000000, 8.231779
pr_001661811,0.712911, 0.000000
pr_000111239,0.712911, 0.000000
pr_000873733,0.712911, 0.000000
pr_000348462,0.712911, 0.000000
us_000481532,0.712911, 0.000000
us_000487989,0.712911, 0.000000
us_000485040,0.712911, 0.000000
us_000309837,0.712911, 0.000000
us_000512263,0.712911, 0.000005
us_000537179,0.712911, 0.000006
pr_001037213,0.712911, 0.000010
us_000572015,0.712911, 0.000017
pr_001791220,0.712911, 0.000041
pr_001785966,0.712911, 0.000041
us_000595018,0.712911, 0.000072
us_000464136,0.712911, 0.000112
us_000573380,0.712911, 0.000418
us_000578439,0.712911, 0.000632
us_000487956,0.712911, 0.020095
us_000532878,0.712911, 0.166997
us_000488909,0.712911, 0.251005
us_000481296,0.671524, 0.000000
pr_000639260,0.671524, 0.000000
pr_000925287,0.671524, 0.000000
pr_000443157,0.671524, 0.000001
pr_000843086,0.671524, 0.000002
us_000481602,0.671524, 0.000002
us_000608882,0.671524, 0.000014
us_000469699,0.671524, 0.000047
pr_000726610,0.671524, 0.000094
us_000493325,0.671524, 0.000144
pr_000903851,0.671524, 0.000144
pr_000640146,0.671524, 0.000169
us_000487289,0.671524, 0.000355
us_000591444,0.671524, 0.030864
us_000614940,0.671524, 0.031810
us_000530669,0.671524, 0.031841
us_000614496,0.671524, 0.031895
us_000502245,0.671524, 0.040279
us_000513747,0.671524, 0.044444
us_000592357,0.671524, 0.047694
us_000594495,0.671524, 0.059972
us_000609077,0.671524, 0.322540
us_000536679,0.573995, 0.000000
us_000464667,0.573995, 0.000000
us_000467322,0.573995, 0.000000
us_000500846,0.573995, 0.000000
us_000461740,0.573995, 0.000000
us_000468333,0.573995, 0.000000
us_000501799,0.573995, 0.000000
us_000416100,0.573995, 0.000000
us_000609365,0.573995, 0.000000
us_000474544,0.573995, 0.000000
us_000498932,0.573995, 0.000000
us_000500695,0.573995, 0.000000
us_000462798,0.573995, 0.000000
us_000487155,0.573995, 0.000000
us_000588691,0.573995, 0.000001
us_000532224,0.573995, 0.000002
us_000491675,0.573995, 0.000002
us_000520003,0.573995, 0.000002
us_000536547,0.573995, 0.000002
us_000518218,0.573995, 0.000002
us_000555014,0.573995, 0.000002
us_000494134,0.573995, 0.000002
us_000507212,0.573995, 0.000002
us_000502591,0.573995, 0.000002
us_000539194,0.573995, 0.000002
us_000511228,0.573995, 0.000002
us_000520254,0.573995, 0.000002
us_000501974,0.573995, 0.000002
us_000579727,0.573995, 0.000002
us_000510873,0.573995, 0.000002
us_000512140,0.573995, 0.000002
us_000514333,0.573995, 0.000002
us_000528672,0.573995, 0.000002
us_000503537,0.573995, 0.000002
us_000538422,0.573995, 0.000002
us_000506853,0.573995, 0.000002
us_000578003,0.573995, 0.000002
us_000542288,0.573995, 0.000002
us_000574528,0.573995, 0.000002
us_000537056,0.573995, 0.000002
us_000505930,0.573995, 0.000002
us_000510766,0.573995, 0.000002
us_000558562,0.573995, 0.000002
us_000525260,0.573995, 0.000002
us_000518810,0.573995, 0.000002
pr_002072108,0.573995, 0.000003
pr_000771955,0.573995, 0.000024
pr_001007473,0.573995, 0.000031
us_000554515,0.573995, 0.000122
us_000555316,0.573995, 0.002550
us_000612753,0.573995, 0.003054
us_000573462,0.573995, 0.073502
us_000573445,0.573995, 2.102076
pr_000638430,0.478655, 0.000001
pr_000403119,0.478655, 0.000001
pr_000936758,0.478655, 0.000004
pr_001096959,0.478655, 0.000004
pr_001924400,0.478655, 0.000004
pr_001583823,0.478655, 0.000004
pr_002149190,0.478655, 0.000004
pr_002167054,0.478655, 0.000004
pr_002141899,0.478655, 0.000004
pr_001743407,0.478655, 0.000004
pr_001956685,0.478655, 0.000004
pr_001975741,0.478655, 0.000004
us_000525147,0.478655, 0.000005
pr_001006955,0.478655, 0.000008
pr_001739317,0.478655, 0.000008
pr_001734461,0.478655, 0.000008
pr_001397213,0.478655, 0.000008
us_000585051,0.478655, 0.000009
