Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 266 | Appellate Practice (jp:266,idx:80)
Class Probability,Ex Count at BMU,BMU Map Loc
0.4450262,170.0,(30|46)
0.2705882,23.0,(30|45)
0.1990291,82.0,(39|45)
0.1571429,11.0,(44|5)
0.1481481,4.0,(30|47)
0.1388889,5.0,(39|44)
0.09655172,14.0,(44|6)
0.08000000,2.0,(6|30)
0.05369128,8.0,(43|0)
0.05291005,10.0,(44|1)
0.05042017,6.0,(21|9)
0.04736842,9.0,(22|8)
0.04545455,6.0,(13|38)
0.04545455,1.0,(41|47)
0.04464286,5.0,(38|44)
0.04444445,2.0,(36|5)
0.04255319,2.0,(20|8)
0.03960396,4.0,(46|41)
0.03703704,1.0,(19|17)
0.03571429,2.0,(43|1)
0.03418804,4.0,(2|45)
0.03225806,2.0,(19|12)
0.02816901,2.0,(31|46)
0.02777778,3.0,(42|45)
0.02597403,4.0,(44|0)
0.02531646,2.0,(17|3)
0.02469136,4.0,(37|48)
0.02439024,1.0,(36|46)
0.02380952,1.0,(28|49)
0.02380952,1.0,(29|0)
0.02298851,2.0,(47|0)
0.02173913,1.0,(34|37)
0.02000000,1.0,(8|11)
0.01834862,2.0,(44|4)
0.01754386,1.0,(3|46)
0.01714286,3.0,(15|22)
0.01666667,4.0,(29|46)
0.01652892,2.0,(48|4)
0.01626016,2.0,(28|9)
0.01606426,4.0,(1|7)
0.01562500,1.0,(14|3)
0.01470588,4.0,(36|49)
0.01449275,1.0,(31|17)
0.01408451,1.0,(14|22)
0.01398601,2.0,(7|25)
0.01379310,4.0,(12|4)
0.01310044,3.0,(40|1)
0.01298701,2.0,(23|13)
0.01298701,1.0,(37|47)
0.01290323,2.0,(38|48)
0.01252236,7.0,(29|20)
0.01234568,1.0,(31|4)
0.01226994,2.0,(42|1)
0.01190476,2.0,(9|2)
0.01190476,1.0,(21|6)
0.01136364,1.0,(5|30)
0.01067616,3.0,(23|8)
0.01060071,3.0,(38|1)
0.01058201,2.0,(46|4)
0.009803922,1.0,(40|48)
0.009708738,1.0,(20|17)
0.009132420,2.0,(34|41)
0.009049774,2.0,(43|44)
0.008771930,2.0,(26|15)
0.008746356,3.0,(32|21)
0.008474576,1.0,(17|14)
0.008474576,1.0,(41|1)
0.008264462,1.0,(6|12)
0.008196721,1.0,(11|3)
0.008097166,2.0,(36|48)
0.007812500,1.0,(43|39)
0.007751938,1.0,(21|46)
0.007575758,1.0,(36|2)
0.007462686,1.0,(26|13)
0.007462686,1.0,(26|19)
0.007462686,1.0,(43|2)
0.007272727,2.0,(32|45)
0.007142857,1.0,(31|19)
0.007142857,1.0,(49|0)
0.007092198,2.0,(35|8)
0.006849315,1.0,(1|37)
0.006779661,2.0,(28|16)
0.006779661,2.0,(33|2)
0.006622517,1.0,(16|1)
0.006535948,1.0,(39|39)
0.006493506,1.0,(49|3)
0.006369427,1.0,(27|4)
0.006211180,1.0,(10|3)
0.006122449,3.0,(38|45)
0.006097561,1.0,(26|12)
0.006060606,1.0,(40|44)
0.005976096,3.0,(30|17)
0.005847953,1.0,(39|41)
0.005813953,1.0,(42|47)
0.005434783,1.0,(1|6)
0.005434783,1.0,(36|40)
0.005405406,1.0,(37|1)
0.005376344,1.0,(31|5)
0.005347594,1.0,(36|4)
0.004950495,1.0,(3|44)
0.004830918,1.0,(14|45)
0.004694836,1.0,(36|39)
0.004672897,1.0,(12|10)
0.004672897,1.0,(13|7)
0.004629630,1.0,(17|2)
0.004545454,2.0,(35|0)
0.004524887,1.0,(34|49)
0.004385965,1.0,(0|3)
0.004166667,1.0,(26|3)
0.004140787,2.0,(39|8)
0.004098360,1.0,(40|46)
0.004000000,1.0,(41|36)
0.003984064,2.0,(31|12)
0.003952569,1.0,(33|49)
0.003703704,1.0,(27|2)
0.003696858,2.0,(29|21)
0.002409639,1.0,(46|40)
0.002270148,2.0,(37|46)
0.002247191,1.0,(47|49)
0.002197802,1.0,(12|9)
0.002183406,1.0,(28|19)
0.001788909,1.0,(36|3)
