Product ID : 1009 # of JPs covered : 1 : 67 : Banking, 
OID,Confidence at Map Node,Error at Map Node
pr_002171482,0.003457, 0.000007
pr_001939875,0.003457, 0.000007
pr_001948843,0.003457, 0.000007
pr_001889118,0.003457, 0.000007
pr_001882165,0.003457, 0.000007
pr_001942956,0.003457, 0.000007
us_000471298,0.003457, 0.000007
pr_001167614,0.003457, 0.000007
pr_000768914,0.003457, 0.000009
us_000574733,0.003457, 0.000011
us_000608993,0.003457, 0.000011
us_000460710,0.003457, 0.000013
pr_000728222,0.003457, 0.000017
pr_001881379,0.003457, 0.000018
pr_001121113,0.003457, 0.000024
pr_001022269,0.003457, 0.000024
pr_001747433,0.003457, 0.000024
pr_001143067,0.003457, 0.000024
pr_000914305,0.003457, 0.000024
pr_000952103,0.003457, 0.000024
us_000493301,0.003457, 0.000025
pr_000587458,0.003457, 0.000026
pr_001635522,0.003457, 0.000026
pr_000708661,0.003457, 0.000030
us_000503362,0.003457, 0.000032
pr_001107469,0.003457, 0.000035
pr_000983870,0.003457, 0.000038
pr_000565403,0.003457, 0.000038
pr_001118135,0.003457, 0.000038
pr_000663060,0.003457, 0.000049
pr_001119496,0.003457, 0.000064
pr_001956873,0.003457, 0.000068
pr_000957808,0.003457, 0.000073
pr_001730442,0.003457, 0.000078
us_000556710,0.003457, 0.000084
pr_000932349,0.003457, 0.000088
pr_001150507,0.003457, 0.000098
pr_001656133,0.003457, 0.000100
pr_001874867,0.003457, 0.000117
pr_001889405,0.003457, 0.000156
pr_000948885,0.003457, 0.000161
pr_001027166,0.003457, 0.000174
us_000590316,0.003457, 0.000206
us_000569382,0.003457, 0.000209
us_000459439,0.003457, 0.000221
pr_001039909,0.003457, 0.000227
pr_001028602,0.003457, 0.000237
us_000580254,0.003457, 0.000238
pr_001071658,0.003457, 0.000240
pr_001406313,0.003457, 0.000272
pr_001936712,0.003457, 0.000275
us_000593893,0.003457, 0.000314
us_000600361,0.003457, 0.000320
us_000508929,0.003457, 0.000354
us_000265094,0.003457, 0.000374
pr_000738861,0.003457, 0.000447
us_000615525,0.003457, 0.000576
us_000459543,0.003457, 0.000614
us_000479705,0.003457, 0.000620
us_000474211,0.003457, 0.000620
us_000575375,0.003457, 0.000705
us_000604530,0.003457, 0.000750
us_000484774,0.003457, 0.000811
us_000591279,0.003457, 0.000816
us_000574851,0.003457, 0.000871
us_000607888,0.003457, 0.000895
us_000488446,0.003457, 0.000950
us_000558013,0.003457, 0.001036
us_000502938,0.003457, 0.001310
us_000474201,0.003457, 0.001334
us_000506460,0.003457, 0.001376
us_000611752,0.003457, 0.001416
us_000471199,0.003457, 0.001538
pr_001120105,0.003457, 0.002137
us_000547658,0.003457, 0.002156
pr_001084616,0.003457, 0.002268
pr_002232365,0.003457, 0.002353
us_000505282,0.003457, 0.002404
us_000592067,0.003457, 0.002430
pr_000772293,0.003457, 0.002454
us_000307611,0.003457, 0.002639
us_000479553,0.003457, 0.002717
pr_001600964,0.003457, 0.003058
pr_001049279,0.003457, 0.003058
pr_000174038,0.003457, 0.003153
pr_000636450,0.003457, 0.003901
pr_001015146,0.003457, 0.003901
pr_000970293,0.003457, 0.003901
pr_000917463,0.003457, 0.003901
pr_001087476,0.003457, 0.003990
us_000540044,0.003457, 0.004134
pr_000198291,0.003457, 0.004276
us_000531135,0.003457, 0.004291
pr_000916278,0.003457, 0.004293
pr_000292094,0.003457, 0.004442
pr_000911590,0.003457, 0.004540
pr_000975116,0.003457, 0.004644
pr_000739495,0.003457, 0.004644
pr_000179039,0.003457, 0.004644
us_000478256,0.003457, 0.004646
pr_000216985,0.003457, 0.004662
us_000459242,0.003457, 0.004818
pr_000762073,0.003457, 0.004883
pr_000171901,0.003457, 0.004883
pr_002109984,0.003457, 0.004883
pr_001927761,0.003457, 0.004883
pr_002165855,0.003457, 0.004883
pr_001168360,0.003457, 0.004883
pr_001955954,0.003457, 0.004883
pr_001062592,0.003457, 0.004883
pr_002099349,0.003457, 0.004883
pr_002155402,0.003457, 0.004883
pr_000582290,0.003457, 0.004883
pr_000876742,0.003457, 0.004883
pr_000849840,0.003457, 0.004883
pr_001994143,0.003457, 0.004883
pr_000171817,0.003457, 0.004883
pr_002188368,0.003457, 0.004883
pr_000577634,0.003457, 0.004883
pr_000707890,0.003457, 0.004883
pr_001959379,0.003457, 0.004883
pr_001048793,0.003457, 0.004886
pr_000566026,0.003457, 0.004887
pr_001969680,0.003457, 0.004971
us_000480966,0.003457, 0.005502
pr_002082157,0.003457, 0.005520
pr_000172478,0.003457, 0.005551
us_000328918,0.003457, 0.005897
us_000586359,0.003457, 0.006457
us_000571559,0.003457, 0.006573
pr_000970055,0.003457, 0.006712
us_000477178,0.003457, 0.007974
us_000560134,0.003457, 0.008083
pr_001956984,0.003457, 0.008242
us_000515537,0.003457, 0.010378
us_000250631,0.003457, 0.011997
us_000472642,0.003457, 0.012070
us_000546164,0.003457, 0.012219
pr_000691299,0.003457, 0.012372
us_000604666,0.003457, 0.012489
us_000513291,0.003457, 0.012530
pr_001821368,0.003457, 0.013063
us_000233054,0.003457, 0.014036
us_000488739,0.003457, 0.014959
us_000487034,0.003457, 0.015194
us_000489551,0.003457, 0.015330
us_000485991,0.003457, 0.015960
us_000544342,0.003457, 0.023246
us_000467835,0.003457, 0.023362
us_000507199,0.003457, 0.026088
us_000539101,0.003457, 0.028527
us_000464685,0.003457, 0.031216
us_000479767,0.003457, 0.031567
us_000584281,0.003457, 0.032872
us_000539063,0.003457, 0.033406
us_000474168,0.003457, 0.034844
us_000463865,0.003457, 0.037198
us_000474041,0.003457, 0.039983
us_000472781,0.003457, 0.040570
us_000588355,0.003457, 0.042041
us_000535507,0.003457, 0.046052
us_000017113,0.003457, 0.049843
us_000594953,0.003457, 0.052466
us_000490773,0.003457, 0.053314
us_000352337,0.003457, 0.053473
us_000572335,0.003457, 0.057789
us_000484871,0.003457, 0.076576
us_000498694,0.003457, 0.099217
us_000528497,0.003457, 0.101306
us_000529914,0.003457, 0.107250
us_000550531,0.003457, 0.157218
us_000535832,0.003457, 0.234843
us_000513075,0.003457, 0.279443
us_000538378,0.003457, 0.297040
us_000506302,0.003457, 0.346667
us_000469544,0.003457, 0.375093
us_000499512,0.003457, 0.428810
us_000535479,0.003457, 0.447256
us_000529132,0.003457, 0.517559
us_000582734,0.003457, 0.613068
