Product ID : 2109 # of JPs covered : 1 : 292 : Healthcare Compliance, 
OID,Confidence at Map Node,Error at Map Node
pr_000871401,1.000000, 0.000000
pr_000881152,1.000000, 0.000071
us_000591112,1.000000, 0.000142
us_000567883,1.000000, 0.000156
us_000609301,1.000000, 0.000211
pr_001690175,1.000000, 0.000660
us_000489855,1.000000, 0.000786
pr_000170110,1.000000, 0.001112
pr_001687430,1.000000, 0.001518
pr_001658032,1.000000, 0.001624
us_000464767,1.000000, 0.013400
us_000488485,1.000000, 1.108380
us_000516597,1.000000, 1.308005
us_000217019,1.000000, 1.402696
us_000482601,1.000000, 1.661724
us_000516367,1.000000, 1.789856
us_000468596,1.000000, 1.959848
us_000501637,1.000000, 2.229444
us_000548893,1.000000, 2.252475
us_000486265,1.000000, 2.264685
us_000581698,1.000000, 2.431772
us_000469453,1.000000, 2.444049
us_000495294,1.000000, 2.453921
us_000565889,1.000000, 2.467686
us_000477865,1.000000, 2.489479
us_000194274,1.000000, 2.501434
us_000495376,1.000000, 2.642992
us_000472441,1.000000, 2.646743
us_000496574,1.000000, 2.670195
us_000469603,1.000000, 2.691877
us_000502599,1.000000, 2.739452
us_000513675,1.000000, 2.786381
us_000514490,1.000000, 2.806206
us_000306644,1.000000, 3.243540
us_000458492,1.000000, 8.278189
us_000467308,0.809446, 0.000273
us_000467382,0.809446, 0.000273
us_000590274,0.809446, 0.746441
us_000500519,0.809446, 2.206436
us_000535970,0.809446, 2.262697
us_000580333,0.809446, 2.315945
us_000478085,0.809446, 2.422504
us_000581920,0.809446, 2.555549
us_000516024,0.809446, 2.587815
us_000535984,0.809446, 2.632328
us_000538082,0.809446, 2.671212
us_000614443,0.809446, 2.710948
us_000239257,0.809446, 2.880627
pr_000446633,0.780652, 0.000000
us_000490825,0.780652, 0.000047
us_000477099,0.780652, 0.915898
us_000494625,0.780652, 1.159621
us_000483593,0.780652, 1.159741
us_000466361,0.780652, 1.193660
us_000507871,0.780652, 1.215966
us_000473758,0.780652, 1.218197
us_000471615,0.780652, 1.220967
us_000483241,0.780652, 1.235511
us_000560513,0.780652, 1.251182
us_000571856,0.780652, 1.265914
us_000551753,0.780652, 1.273536
us_000548644,0.780652, 1.289958
us_000475477,0.780652, 1.329202
us_000561541,0.780652, 1.390706
pr_001078942,0.757130, 0.000000
us_000193384,0.757130, 0.610326
us_000465797,0.757130, 0.708112
us_000500003,0.757130, 0.772235
us_000493064,0.757130, 0.805068
us_000472888,0.757130, 0.888778
us_000464729,0.757130, 0.895302
us_000459190,0.757130, 0.902215
us_000476288,0.757130, 0.926899
us_000189413,0.757130, 0.929924
us_000461346,0.757130, 0.933223
us_000572972,0.757130, 0.941307
us_000492537,0.757130, 0.952516
us_000461871,0.757130, 0.977649
us_000464819,0.757130, 0.995150
us_000477146,0.757130, 0.999052
us_000523524,0.757130, 1.018222
us_000484464,0.757130, 1.029445
us_000541806,0.757130, 1.039172
us_000504827,0.757130, 1.069418
us_000532718,0.757130, 1.082482
us_000472329,0.757130, 1.083835
us_000468283,0.757130, 1.093570
us_000482132,0.757130, 1.101347
us_000190568,0.757130, 1.103018
us_000338386,0.757130, 1.123557
us_000472341,0.757130, 1.127786
us_000480109,0.757130, 1.147320
us_000494129,0.757130, 1.163563
us_000504849,0.757130, 1.163684
us_000512322,0.757130, 1.167659
us_000462740,0.757130, 1.172765
us_000459144,0.757130, 1.174649
us_000518717,0.757130, 1.177071
us_000340053,0.757130, 1.177263
us_000552043,0.757130, 1.178638
us_000476157,0.757130, 1.185177
us_000471603,0.757130, 1.189428
us_000468305,0.757130, 1.191335
us_000119941,0.757130, 1.200858
us_000471427,0.757130, 1.209651
us_000532776,0.757130, 1.215853
us_000481613,0.757130, 1.222075
us_000498013,0.757130, 1.223376
us_000470026,0.757130, 1.225285
us_000533704,0.757130, 1.229175
us_000504735,0.757130, 1.230548
us_000459562,0.757130, 1.243109
us_000530012,0.757130, 1.271838
us_000486432,0.757130, 1.274984
us_000513010,0.757130, 1.292641
us_000501336,0.757130, 1.537526
us_000545456,0.757130, 2.352232
us_000241025,0.738997, 0.264816
us_000480167,0.738997, 0.326422
us_000531822,0.738997, 0.365330
us_000553390,0.738997, 0.369573
us_000477490,0.738997, 0.377366
us_000461306,0.738997, 0.393593
us_000503002,0.738997, 0.410097
us_000473498,0.738997, 0.425602
us_000459248,0.738997, 0.428873
us_000568035,0.738997, 0.434865
us_000533455,0.738997, 0.445144
us_000503906,0.738997, 0.478529
us_000484614,0.738997, 0.484173
us_000532935,0.738997, 0.525566
us_000518044,0.738997, 0.618680
us_000573584,0.738997, 0.704160
us_000584679,0.738997, 0.859640
pr_001415383,0.727647, 0.000000
pr_001951018,0.727647, 0.000000
us_000554933,0.727647, 0.000001
us_000486214,0.727647, 0.000576
us_000217852,0.727647, 0.048866
us_000217872,0.727647, 0.051070
us_000509334,0.727647, 0.064888
us_000472447,0.727647, 0.064938
us_000489182,0.727647, 0.085464
us_000555582,0.727647, 0.088596
us_000489242,0.727647, 0.094327
us_000304832,0.727647, 0.095192
us_000498372,0.727647, 0.116302
us_000476310,0.727647, 0.119348
us_000503208,0.727647, 0.123632
us_000494437,0.727647, 0.128929
us_000482894,0.727647, 0.131476
us_000502632,0.727647, 0.132420
us_000550220,0.727647, 0.137973
us_000482333,0.727647, 0.138858
us_000129875,0.727647, 0.140629
us_000218934,0.727647, 0.145681
us_000502911,0.727647, 0.145785
us_000500007,0.727647, 0.149959
us_000536002,0.727647, 0.157538
us_000512355,0.727647, 0.158405
us_000492561,0.727647, 0.158888
us_000473389,0.727647, 0.160124
us_000548014,0.727647, 0.162762
us_000486940,0.727647, 0.163654
us_000489730,0.727647, 0.164118
us_000492596,0.727647, 0.164592
us_000548007,0.727647, 0.173474
us_000498750,0.727647, 0.175733
us_000485922,0.727647, 0.176657
us_000540058,0.727647, 0.179826
us_000479156,0.727647, 0.182862
us_000476104,0.727647, 0.185260
us_000522368,0.727647, 0.188679
us_000493455,0.727647, 0.190296
us_000510847,0.727647, 0.191146
us_000573665,0.727647, 0.191182
us_000476934,0.727647, 0.192429
us_000476976,0.727647, 0.192739
us_000476137,0.727647, 0.193670
us_000495197,0.727647, 0.194289
us_000480494,0.727647, 0.194327
us_000510627,0.727647, 0.197166
us_000497630,0.727647, 0.197870
us_000480507,0.727647, 0.198848
us_000475167,0.727647, 0.199324
us_000473763,0.727647, 0.202113
us_000128360,0.727647, 0.203595
us_000584786,0.727647, 0.204678
us_000522393,0.727647, 0.204834
