Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 63 | Law Firm Management (jp:63,idx:10)
Class Probability,Ex Count at BMU,BMU Map Loc
0.1111111,2.0,(0|31)
0.1098592,39.0,(0|30)
0.05892857,33.0,(0|26)
0.05454545,3.0,(0|29)
0.01785714,3.0,(0|27)
0.01250000,1.0,(0|28)
0.01063830,1.0,(49|26)
0.007874016,1.0,(48|26)
0.006802721,1.0,(48|28)
0.006535948,2.0,(13|35)
0.005524862,1.0,(49|27)
0.004524887,1.0,(3|41)
0.003496503,1.0,(48|5)
0.003115265,1.0,(23|13)
0.002358491,1.0,(16|38)
