Job Practice, Probability (Class), Segment of training data mapped to node possessing orders in specified JP  : 217 | Personal Tax Law (jp:217,idx:66)
Class Probability,Ex Count at BMU,BMU Map Loc
0.05263158,3.0,(49|39)
0.04085603,21.0,(0|42)
0.03563941,17.0,(48|44)
0.03333334,1.0,(47|45)
0.02739726,2.0,(46|44)
0.02083333,1.0,(46|43)
0.01801802,2.0,(46|42)
0.01785714,2.0,(48|42)
0.01398601,2.0,(0|43)
0.01345291,3.0,(48|43)
0.01098901,1.0,(46|10)
0.009523810,3.0,(49|42)
0.005649718,1.0,(47|42)
0.005154639,1.0,(47|43)
0.003968254,1.0,(49|10)
